#--- Do not edit. Generated automatically from SndRcv ---
#Time_sec,Time_min,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
Time_sec,Time,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
860,14.333333333333302,0.23888888888888898,1389357,821947,757597,553209,475512,475512,1346859,855117,666037,553209,475512,1389357,666037,317228,191039,146746,133284,96797,695895,359171,191039,133284,108310,75719,450930,160859,85934,48961,34357,22338,475512,175623,75719,34357,28025,17296,241199,66152,9147,1750,0,0,277905,66152,17296,1750,33,0,1105907,695895,553209,636840,403737,337872,1223378,789441,553209,475512,427005,337872,553209,297240,175623,133284,108310,75719,666037,317228,191039,133284,96797,75719,403737,160859,75719,41336,28025,17296,450930,175623,75719,48961,34357,12899,241199,85934,22338,9147,3572,0,277905,75719,17296,3572,570,0
1760,29.3333333333333,0.48888888888888893,2552462,1753479,1658420,1305030,1183553,1105907,2324514,1753479,1520870,1305030,1105907,1305030,1068083,553209,403737,359171,297240,259226,1105907,608303,403737,337872,277905,223826,695895,277905,175623,120472,85934,57233,757597,317228,160859,96797,66152,48961,381126,96797,22338,3572,33,0,475512,120472,34357,6038,570,0,2054822,1476362,1144397,1263870,958608,855117,2160670,1520870,1183553,1105907,1068083,888950,923447,553209,359171,277905,259226,207106,1068083,580426,403737,317228,259226,223826,636840,277905,146746,96797,75719,48961,726415,317228,146746,108310,75719,41336,381126,133284,34357,12899,3572,0,450930,133284,28025,6038,570,0
2660,44.3333333333333,0.7388888888888892,3928154,3436058,3504298,2914773,2852686,2611147,3713134,3573224,3301633,2977543,2552462,2914773,1476362,958608,888950,757597,789441,636840,1611898,1144397,888950,821947,726415,636840,958608,450930,317228,259226,207106,160859,1223378,553209,337872,241199,191039,133284,636840,175623,41336,9147,570,0,923447,223826,57233,12899,1750,33,3105129,2914773,2611147,3169947,2380484,2269222,3436058,2977543,2730555,2552462,2494457,2214607,1346859,958608,789441,695895,636840,580426,1611898,1030926,855117,726415,636840,580426,923447,450930,297240,223826,191039,146746,1144397,526651,297240,259226,207106,146746,608303,191039,57233,17296,6038,0,789441,223826,48961,12899,1750,0
3560,59.3333333333333,0.9888888888888892,5263951,5872295,6514868,5783296,5607393,5348767,5263951,6420971,6514868,6052388,5607393,6052388,1851231,1611898,1802018,1802018,1753479,1611898,2107408,1753479,1901117,1851231,1851231,1611898,1305030,695895,636840,580426,500753,450930,1753479,855117,666037,580426,500753,359171,1030926,297240,75719,17296,1750,0,1658420,427005,120472,28025,6038,33,3855793,5179831,5179831,5263951,5013675,4769647,4453977,5263951,5520488,5348767,5520488,4931639,1753479,1566048,1658420,1611898,1611898,1520870,2107408,1705613,1802018,1753479,1566048,1520870,1305030,695895,580426,526651,475512,427005,1705613,821947,608303,580426,500753,427005,958608,317228,96797,28025,12899,0,1346859,381126,96797,22338,3572,0
5071,84.5166666666667,1.4086111111111101,7594137,11472858,12374299,12505968,9659939,9430393,6514868,12113132,11726802,12243354,13723630,12374299,2552462,3169947,5013675,5520488,5520488,4850296,2611147,3235448,5434279,6800772,7191818,19685623,2214607,1183553,1658420,1901117,1851231,1705613,2269222,1476362,1611898,2002912,2160670,1432524,2214607,608303,160859,41336,9147,0,2852686,666037,207106,160859,41336,33,4769647,8869006,10009618,9775784,8869006,8649434,5348767,9316690,11097346,10606735,11983633,9203701,2324514,2852686,4531857,5179831,5179831,4931639,2611147,3235448,5013675,5348767,6143483,5607393,2054822,1183553,1476362,1705613,1705613,1611898,2380484,1263870,1389357,1753479,1851231,13585428,1802018,636840,191039,57233,17296,33,1951677,636840,175623,41336,9147,33
5971,99.5166666666667,1.6586111111111101,8432704,14002219,15586669,16184810,12243354,11854856,7391567,15292001,15145767,15735103,17104091,15000265,2914773,4769647,8007757,8325404,8540714,7191818,2852686,4610428,8979859,10365738,11221796,22100794,2730555,1566048,2977543,4001203,4074941,3642835,2552462,1753479,2914773,4224485,4769647,3368503,3235448,994435,277905,75719,12899,0,3368503,789441,241199,120472,28025,33,5013675,9544809,10728310,10850603,10127608,10127608,5783296,11346967,13723630,12771479,14711456,11221796,2730555,3436058,6420971,8007757,8218813,7594137,2914773,4149368,7696482,8325404,9203701,7696482,2670511,1520870,2054822,2791280,3169947,3169947,2611147,1432524,2002912,2977543,3235448,13585428,2494457,888950,277905,85934,22338,0,2002912,726415,207106,48961,9147,33
6871,114.516666666667,1.9086111111111101,9091424,16488291,19518710,19853281,14855495,14711456,7799533,18210165,18858497,19352541,21395783,18695301,3368503,6704768,10850603,11472858,11472858,9316690,3105129,6143483,12243354,14002219,14711456,25231424,3436058,2324514,5348767,7391567,7391567,6514868,2791280,2160670,5348767,7799533,9091424,6800772,4074941,1611898,475512,133284,28025,0,3713134,923447,297240,120472,22338,33,5013675,10246315,11221796,11726802,10973615,11097346,6143483,13175185,16488291,15000265,16949035,11854856,3105129,3855793,7291340,8979859,9430393,9091424,3169947,5520488,10365738,11097346,11726802,8649434,3436058,1901117,2552462,3573224,4074941,4376789,2852686,1705613,3040994,4850296,5263951,12771479,3301633,1346859,475512,146746,41336,0,2054822,789441,259226,57233,12899,33
7771,129.516666666667,2.15861111111111,9775784,19518710,22278923,22278923,17731696,16641136,8325404,21746789,22998953,22998953,26193791,24101591,4001203,8979859,14283724,15000265,15000265,11221796,3235448,7903291,16034173,18210165,19022435,28581104,4001203,3368503,8218813,10485878,10728310,8869006,2977543,2791280,8218813,11346967,13311206,8979859,4769647,2437131,821947,241199,57233,0,3784120,1068083,381126,120472,22338,0,5179831,10606735,11599469,12243354,11726802,11726802,6420971,15145767,20021684,18049935,19685623,11983633,3504298,4224485,7799533,9544809,10009618,10009618,3436058,6994887,13723630,14425571,14568148,9203701,4149368,2380484,3040994,4149368,4769647,5179831,3105129,2002912,4689691,7696482,7799533,11983633,3928154,1951677,821947,241199,75719,0,2054822,821947,337872,66152,17296,33
8671,144.516666666667,2.4086111111111097,10365738,22100794,25231424,25231424,20190832,19022435,8432704,24851786,27373720,27573041,30866257,30654675,4531857,11346967,17573687,18210165,18049935,13447953,3368503,9775784,20360726,22637434,23363483,34132622,4610428,4850296,10973615,14283724,14568148,11472858,3040994,3784120,11346967,15586669,18210165,12638361,5520488,3436058,1263870,427005,96797,0,3713134,1183553,427005,120472,22338,0,5179831,10850603,11854856,12505968,11983633,11854856,6800772,16641136,23363483,21047772,22278923,11983633,3855793,4453977,8325404,9892343,10606735,10606735,3713134,8540714,17104091,17890446,18049935,9544809,4850296,2977543,3573224,4689691,5434279,5694996,3301633,2437131,6800772,10850603,10728310,11599469,4531857,2852686,1432524,403737,146746,0,2002912,855117,381126,75719,17296,33
9571,159.516666666667,2.6586111111111097,10973615,24288006,28377963,28377963,22457803,21923416,8649434,27973974,31078609,30866257,33687046,37573661,5179831,13585428,20360726,21047772,20702755,15438968,3368503,11221796,25041226,26584056,27373720,31720290,5434279,6514868,14425571,18371135,18858497,14711456,3169947,5096405,15000265,20360726,23731028,15586669,6143483,4453977,1901117,695895,160859,0,3436058,1263870,475512,108310,28025,0,5348767,11097346,12113132,12505968,12113132,11854856,7191818,17573687,26780329,24288006,25422380,11983633,4300292,4610428,8869006,10365738,10973615,10973615,4001203,9659939,21047772,22637434,22457803,9775784,5783296,3573224,4074941,5263951,6235279,6143483,3504298,2914773,9430393,14855495,14425571,11346967,5179831,3855793,2324514,666037,241199,0,1951677,855117,403737,85934,22338,0
10471,174.516666666667,2.9086111111111097,11726802,25999799,31078609,31505625,25231424,24851786,8869006,30654675,34356574,34806810,36871410,44212317,5872295,15735103,22998953,24101591,23731028,16949035,3436058,12505968,29608297,31291732,31720290,28377963,6235279,8540714,18049935,21923416,22278923,17416416,3368503,6704768,19352541,25041226,28989683,17259884,6897478,5263951,2730555,1144397,277905,0,3301633,1346859,500753,120472,28025,33,5520488,11221796,12243354,12505968,11983633,11726802,7799533,18695301,30443862,28175586,28989683,11854856,4689691,4769647,9203701,10728310,11472858,11097346,4300292,10365738,24475176,26977364,26780329,10009618,6800772,4300292,4610428,5783296,6897478,6609467,3713134,3642835,12374299,19853281,19187116,10850603,5961992,4689691,3504298,1030926,427005,33,1901117,923447,450930,96797,22338,33
11371,189.516666666667,3.1586111111111097,12374299,27175161,33909446,34581303,28377963,27773126,8979859,33024496,38045742,38282957,39965442,51430002,6514868,17573687,26193791,26977364,26388543,18695301,3368503,13311206,33909446,35716615,35716615,27175161,7093001,10606735,21047772,25231424,25999799,19352541,3436058,8432704,23731028,30233818,33909446,19187116,7391567,5872295,3784120,1658420,475512,0,3105129,1389357,500753,133284,34357,0,5607393,11346967,12374299,12374299,11854856,11599469,8540714,19518710,33909446,31720290,32586669,11599469,5096405,4931639,9544809,10973615,11599469,11097346,4531857,10850603,27773126,30443862,31291732,10127608,7903291,4850296,5096405,6235279,7594137,7093001,3928154,4453977,15145767,25041226,24288006,10365738,6800772,5694996,5096405,1566048,666037,33,1901117,958608,500753,108310,28025,33
12271,204.516666666667,3.4086111111111097,13039891,28581104,37104712,37809310,32151934,30443862,9316690,35033093,41686490,42185321,44727000,59836883,7391567,19352541,29195121,30024543,29401326,20531367,3368503,13862561,38045742,39965442,39965442,26780329,8007757,12638361,24288006,28989683,29816037,22457803,3504298,9659939,28175586,35260155,38759740,21923416,8218813,6609467,4850296,2437131,757597,0,2852686,1346859,500753,146746,34357,0,5694996,11472858,12374299,12374299,11854856,11346967,9430393,20360726,37104712,35487996,36871410,11346967,5607393,5096405,9659939,11097346,11854856,11097346,4769647,11346967,31078609,35033093,36176192,10246315,9203701,5520488,5694996,6800772,8112931,7391567,4149368,5348767,17573687,30024543,29401326,10009618,7492499,6897478,6994887,2324514,1030926,33,1901117,958608,553209,120472,28025,33
