#--- Do not edit. Generated automatically from SndRcv ---
#Time_sec,Time_min,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
Time_sec,Time,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
860,14.333333333333302,0.23888888888888898,2084181,1232987,1136453,829846,713290,713290,2020428,1282746,999102,829846,713290,2084181,999102,475846,286550,220108,199914,145182,1043893,538765,286550,199914,162452,113564,676414,241279,128887,73427,51523,33495,713290,263426,113564,51523,42025,25933,361796,99214,13711,2620,0,0,416858,99214,25933,2620,48,0,1658966,1043893,829846,955302,605619,506814,1835189,1184223,829846,713290,640523,506814,829846,445861,263426,199914,162452,113564,999102,475846,286550,199914,145182,113564,605619,241279,113564,61990,42025,25933,676414,263426,113564,73427,51523,19339,361796,128887,33495,13711,5352,0,416858,113564,25933,5352,852,0
1760,29.3333333333333,0.48888888888888893,3829010,2630418,2487814,1957679,1775447,1658966,3487054,2630418,2281469,1957679,1658966,1957679,1602226,829846,605619,538765,445861,388837,1658966,912493,605619,506814,416858,335735,1043893,416858,263426,180695,128887,85835,1136453,475846,241279,145182,99214,73427,571700,145182,33495,5352,48,0,713290,180695,51523,9049,852,0,3082477,2214701,1716706,1895933,1437998,1282746,3241263,2281469,1775447,1658966,1602226,1333501,1385251,829846,538765,416858,388837,310653,1602226,870675,605619,475846,388837,335735,955302,416858,220108,145182,113564,73427,1089677,475846,220108,162452,113564,61990,571700,199914,51523,19339,5352,0,676414,199914,42025,9049,852,0
2660,44.3333333333333,0.7388888888888892,5892751,5154534,5256904,4372530,4279390,3917045,5570190,5360303,4952877,4466694,3829010,4372530,2214701,1437998,1333501,1136453,1184223,955302,2418025,1716706,1333501,1232987,1089677,955302,1437998,676414,475846,388837,310653,241279,1835189,829846,506814,361796,286550,199914,955302,263426,61990,13711,852,0,1385251,335735,85835,19339,2620,48,4658092,4372530,3917045,4755328,3571016,3404108,5154534,4466694,4096175,3829010,3741994,3322178,2020428,1437998,1184223,1043893,955302,870675,2418025,1546485,1282746,1089677,955302,870675,1385251,676414,445861,335735,286550,220108,1716706,790006,445861,388837,310653,220108,912493,286550,85835,25933,9049,0,1184223,335735,73427,19339,2620,0
3560,59.3333333333333,0.9888888888888892,7896644,8809248,9773201,8675737,8411857,8023880,7896644,9632342,9773201,9079414,8411857,9079414,2777059,2418025,2703233,2703233,2630418,2418025,3161363,2630418,2851896,2777059,2777059,2418025,1957679,1043893,955302,870675,751154,676414,2630418,1282746,999102,870675,751154,538765,1546485,445861,113564,25933,2620,0,2487814,640523,180695,42025,9049,48,5784199,7770451,7770451,7896644,7521193,7155115,6681564,7896644,8281486,8023880,8281486,7398126,2630418,2349244,2487814,2418025,2418025,2281469,3161363,2558612,2703233,2630418,2349244,2281469,1957679,1043893,870675,790006,713290,640523,2558612,1232987,912493,870675,751154,640523,1437998,475846,145182,42025,19339,0,2020428,571700,145182,33495,5352,0
5071,84.5166666666667,1.4086111111111101,11392261,17210883,18563167,18760689,14491255,14146904,9773201,18171381,17591834,18366732,20587345,18563167,3829010,4755328,7521193,8281486,8281486,7276101,3917045,4853590,8152161,10202098,10788724,29531101,3322178,1775447,2487814,2851896,2777059,2558612,3404108,2214701,2418025,3004604,3241263,2148939,3322178,912493,241279,61990,13711,0,4279390,999102,310653,241279,61990,48,7155115,13304744,15015822,14665038,13304744,12975355,8023880,13976334,16647564,15911580,17977115,13806833,3487054,4279390,6798395,7770451,7770451,7398126,3917045,4853590,7521193,8023880,9216070,8411857,3082477,1775447,2214701,2558612,2558612,2418025,3571016,1895933,2084181,2630418,2777059,20380023,2703233,955302,286550,85835,25933,48,2927744,955302,263426,61990,13711,48
5971,99.5166666666667,1.6586111111111101,12650230,21005266,23382148,24279438,18366732,17783933,11088376,22940108,22720738,23604818,25658477,22502465,4372530,7155115,12012749,12489264,12812260,10788724,4279390,6916263,13471039,15550051,16834257,33154155,4096175,2349244,4466694,6002336,6112954,5464731,3829010,2630418,4372530,6337292,7155115,5053192,4853590,1491742,416858,113564,19339,0,5053192,1184223,361796,180695,42025,48,7521193,14318544,16093959,16277416,15192824,15192824,8675737,17022029,20587345,19158991,22069214,16834257,4096175,5154534,9632342,12012749,12329363,11392261,4372530,6224605,11545792,12489264,13806833,11545792,4006100,2281469,3082477,4187272,4755328,4755328,3917045,2148939,3004604,4466694,4853590,20380023,3741994,1333501,416858,128887,33495,0,3004604,1089677,310653,73427,13711,48
6871,114.516666666667,1.9086111111111101,13638402,24734699,29280711,29782608,22285291,22069214,11700383,27317729,28290308,29031437,32096551,28045494,5053192,10058079,16277416,17210883,17210883,13976334,4658092,9216070,18366732,21005266,22069214,37850472,5154534,3487054,8023880,11088376,11088376,9773201,4187272,3241263,8023880,11700383,13638402,10202098,6112954,2418025,713290,199914,42025,0,5570190,1385251,445861,180695,33495,48,7521193,15370900,16834257,17591834,16461950,16647564,9216070,19764604,24734699,22502465,25425874,17783933,4658092,5784199,10938021,13471039,14146904,13638402,4755328,8281486,15550051,16647564,17591834,12975355,5154534,2851896,3829010,5360303,6112954,6565770,4279390,2558612,4561881,7276101,7896644,19158991,4952877,2020428,713290,220108,61990,0,3082477,1184223,388837,85835,19339,48
7771,129.516666666667,2.15861111111111,14665038,29280711,33421369,33421369,26599965,24963985,12489264,32623103,34501501,34501501,39294135,36155590,6002336,13471039,21427561,22502465,22502465,16834257,4853590,11856035,24053463,27317729,28536236,42875378,6002336,5053192,12329363,15730277,16093959,13304744,4466694,4187272,12329363,17022029,19968653,13471039,7155115,3655996,1232987,361796,85835,0,5676679,1602226,571700,180695,33495,0,7770451,15911580,17400817,18366732,17591834,17591834,9632342,22720738,30035234,27077364,29531101,17977115,5256904,6337292,11700383,14318544,15015822,15015822,5154534,10493300,20587345,21640350,21854234,13806833,6224605,3571016,4561881,6224605,7155115,7770451,4658092,3004604,7035170,11545792,11700383,17977115,5892751,2927744,1232987,361796,113564,0,3082477,1232987,506814,99214,25933,48
8671,144.516666666667,2.4086111111111097,15550051,33154155,37850472,37850472,30288977,28536236,12650230,37280970,41064164,41363169,46303364,45985967,6798395,17022029,26362931,27317729,27077364,20173793,5053192,14665038,30543840,33959179,35048340,51203267,6916263,7276101,16461950,21427561,21854234,17210883,4561881,5676679,17022029,23382148,27317729,18959297,8281486,5154534,1895933,640523,145182,0,5570190,1775447,640523,180695,33495,0,7770451,16277416,17783933,18760689,17977115,17783933,10202098,24963985,35048340,31574494,33421369,17977115,5784199,6681564,12489264,14839894,15911580,15911580,5570190,12812260,25658477,26838110,27077364,14318544,7276101,4466694,5360303,7035170,8152161,8543274,4952877,3655996,10202098,16277416,16093959,17400817,6798395,4279390,2148939,605619,220108,0,3004604,1282746,571700,113564,25933,48
9571,159.516666666667,2.6586111111111097,16461950,36435233,42570643,42570643,33689710,32888066,12975355,41964614,46621916,46303364,50534854,56365188,7770451,20380023,30543840,31574494,31056925,23160578,5053192,16834257,37565153,39879577,41064164,47584507,8152161,9773201,21640350,27559205,28290308,22069214,4755328,7645301,22502465,30543840,35599701,23382148,9216070,6681564,2851896,1043893,241279,0,5154534,1895933,713290,162452,42025,0,8023880,16647564,18171381,18760689,18171381,17783933,10788724,26362931,40174010,36435233,38136928,17977115,6451013,6916263,13304744,15550051,16461950,16461950,6002336,14491255,31574494,33959179,33689710,14665038,8675737,5360303,6112954,7896644,9353777,9216070,5256904,4372530,14146904,22285291,21640350,17022029,7770451,5784199,3487054,999102,361796,0,2927744,1282746,605619,128887,33495,0
