#--- Do not edit. Generated automatically from fig10 ---
#Time_sec,Time_min,Time_hr,A1: K-,sOD=0.25, sϕ=0,A2: K-,sOD=0.25, sϕ=3^-1,A3: K-,sOD=0.25, sϕ=3^-2,A4: K-,sOD=0.25, sϕ=3^-3,A5: K-,sOD=0.25, sϕ=0,A6: K-,sOD=0.25, sϕ=3^-1,A7: K-,sOD=0.25, sϕ=3^-2,A8: K-,sOD=0.25, sϕ=3^-3,A9: K-,sOD=0.25, sϕ=0,A10: K-,sOD=0.25, sϕ=3^-1,A11: K-,sOD=0.25, sϕ=3^-2,A12: K-,sOD=0.25, sϕ=3^-3,B1: K-,sOD=0.125, sϕ=0,B2: K-,sOD=0.125, sϕ=3^-1,B3: K-,sOD=0.125, sϕ=3^-2,B4: K-,sOD=0.125, sϕ=3^-3,B5: K-,sOD=0.125, sϕ=0,B6: K-,sOD=0.125, sϕ=3^-1,B7: K-,sOD=0.125, sϕ=3^-2,B8: K-,sOD=0.125, sϕ=3^-3,B9: K-,sOD=0.125, sϕ=0,B10: K-,sOD=0.125, sϕ=3^-1,B11: K-,sOD=0.125, sϕ=3^-2,B12: K-,sOD=0.125, sϕ=3^-3,C1: K-,sOD=0.0625, sϕ=0,C2: K-,sOD=0.0625, sϕ=3^-1,C3: K-,sOD=0.0625, sϕ=3^-2,C4: K-,sOD=0.0625, sϕ=3^-3,C5: K-,sOD=0.0625, sϕ=0,C6: K-,sOD=0.0625, sϕ=3^-1,C7: K-,sOD=0.0625, sϕ=3^-2,C8: K-,sOD=0.0625, sϕ=3^-3,C9: K-,sOD=0.0625, sϕ=0,C10: K-,sOD=0.0625, sϕ=3^-1,C11: K-,sOD=0.0625, sϕ=3^-2,C12: K-,sOD=0.0625, sϕ=3^-3,D1: K-,sOD=0.03125, sϕ=0,D2: K-,sOD=0.03125, sϕ=3^-1,D3: K-,sOD=0.03125, sϕ=3^-2,D4: K-,sOD=0.03125, sϕ=3^-3,D5: K-,sOD=0.03125, sϕ=0,D6: K-,sOD=0.03125, sϕ=3^-1,D7: K-,sOD=0.03125, sϕ=3^-2,D8: K-,sOD=0.03125, sϕ=3^-3,D9: K-,sOD=0.03125, sϕ=0,D10: K-,sOD=0.03125, sϕ=3^-1,D11: K-,sOD=0.03125, sϕ=3^-2,D12: K-,sOD=0.03125, sϕ=3^-3,E1: K+,sOD=0.25, sϕ=0,E2: K+,sOD=0.25, sϕ=3^-1,E3: K+,sOD=0.25, sϕ=3^-,E4: K+,sOD=0.25, sϕ=3^-3,E5: K+,sOD=0.25, sϕ=0,E6: K+,sOD=0.25, sϕ=3^-1,E7: K+,sOD=0.25, sϕ=3^-2,E8: K+,sOD=0.25, sϕ=3^-3,E9: K+,sOD=0.25, sϕ=0,E10: K+,sOD=0.25, sϕ=3^-1,E11: K+,sOD=0.25, sϕ=3^-2,E12: K+,sOD=0.25, sϕ=3^-3,F1: K+,sOD=0.125, sϕ=0,F2: K+,sOD=0.125, sϕ=3^-1,F3: K+,sOD=0.125, sϕ=3^-2,F4: K+,sOD=0.125, sϕ=3^-3,F5: K+,sOD=0.125, sϕ=0,F6: K+,sOD=0.125, sϕ=3^-1,F7: K+,sOD=0.125, sϕ=3^-2,F8: K+,sOD=0.125, sϕ=3^-3,F9: K+,sOD=0.125, sϕ=0,F10: K+,sOD=0.125, sϕ=3^-1,F11: K+,sOD=0.125, sϕ=3^-2,F12: K+,sOD=0.125, sϕ=3^-3,G1: K+,sOD=0.0625, sϕ=0,G2: K+,sOD=0.0625, sϕ=3^-1,G3: K+,sOD=0.0625, sϕ=3^-2,G4: K+,sOD=0.0625, sϕ=3^-3,G5: K+,sOD=0.0625, sϕ=0,G6: K+,sOD=0.0625, sϕ=3^-1,G7: K+,sOD=0.0625, sϕ=3^-2,G8: K+,sOD=0.0625, sϕ=3^-3,G9: K+,sOD=0.0625, sϕ=0,G10: K+,sOD=0.0625, sϕ=3^-1,G11: K+,sOD=0.0625, sϕ=3^-2,G12: K+,sOD=0.0625, sϕ=3^-3,H1: K+,sOD=0.03125, sϕ=0,H2: K+,sOD=0.03125, sϕ=3^-1,H3: K+,sOD=0.03125, sϕ=3^-2,H4: K+,sOD=0.03125, sϕ=3^-3,H5: K+,sOD=0.03125, sϕ=0,H6: K+,sOD=0.03125, sϕ=3^-1,H7: K+,sOD=0.03125, sϕ=3^-2,H8: K+,sOD=0.03125, sϕ=3^-3,H9: K+,sOD=0.03125, sϕ=0,H10: K+,sOD=0.03125, sϕ=3^-1,H11: K+,sOD=0.03125, sϕ=3^-2,H12: K+,sOD=0.03125, sϕ=3^-3
Time_sec,Time,Time_hr,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
860,14.333333333333302,0.23888888888888798,3544333,3407733,3273874,3142752,3340461,3142752,3078217,3273874,3078217,3273874,3078217,3273874,841071,841071,841071,841071,841071,775949,775949,808178,775949,775949,808178,808178,154811,169301,184442,169301,184442,184442,154811,216680,269934,184442,154811,169301,25536,31595,38300,38300,31595,20122,25536,25536,31595,31595,31595,20122,3207971,3142752,3340461,3340461,3014365,2951195,3273874,3340461,3142752,3142752,3142752,3078217,808178,713477,744382,744382,775949,775949,979279,874626,841071,775949,908846,775949,184442,154811,184442,184442,184442,154811,169301,200235,200235,169301,251530,169301,25536,25536,20122,31595,31595,25536,20122,31595,25536,38300,31595,38300
1760,29.3333333333333,0.48888888888888793,6475714,6289195,6382104,6196986,6760756,6475714,6196986,6105478,5924559,5924559,6382104,6475714,1930387,1880107,1830500,1830500,1830500,1685722,1685722,1733308,1733308,1733308,1880107,1880107,394114,394114,394114,350099,371778,394114,350099,417106,515649,394114,371778,394114,71589,71589,81530,81530,71589,53650,62296,62296,71589,71589,71589,62296,4736214,4736214,4979387,5571106,4499278,4656543,5144972,5144972,4897636,5061832,5061832,5228807,1128129,908846,1052372,1052372,1128129,1052372,1414308,1206554,1329200,1089917,1371419,1052372,216680,200235,233778,288993,233778,200235,216680,269934,251530,216680,308707,216680,31595,31595,25536,38300,38300,31595,31595,38300,38300,45652,38300,53650
2660,44.3333333333333,0.7388888888888879,9497273,9497273,9612113,9497273,10316162,10556576,8388070,10316162,9045050,8174758,9045050,9157037,4736214,4118210,4044067,4118210,4044067,3825770,3683678,4118210,3613662,3897847,4044067,4421683,1089917,1052372,1015493,908846,1015493,979279,943730,1052372,1206554,1052372,1015493,1089917,233778,233778,216680,216680,216680,184442,184442,200235,216680,216680,216680,200235,5144972,5746437,6196986,6760756,5313338,5571106,6289195,6665040,5924559,6014669,6570026,6289195,1206554,1089917,1015493,1128129,1206554,1089917,1546995,1329200,1592565,1206554,1546995,1128129,216680,200235,251530,288993,251530,216680,233778,269934,269934,216680,329075,233778,31595,31595,25536,38300,38300,31595,25536,38300,38300,45652,38300,53650
3560,59.3333333333333,0.9888888888888879,11930253,12320038,11930253,12451414,13119159,13944423,11801770,13528517,11046018,11170175,12451414,11295053,7860104,7249884,7450467,7150651,7349823,7551817,7249884,7052121,6665040,6857174,7860104,7551817,2586489,2470362,2301261,2085278,2301261,2191916,2246250,2413317,2705334,2413317,2356950,2528086,653653,653653,568871,568871,541931,515649,541931,515649,596472,596472,624732,568871,5313338,6105478,6760756,7150651,5571106,5835149,6857174,7052121,6014669,6105478,6857174,6105478,1167008,1128129,1089917,1128129,1246768,1089917,1546995,1329200,1592565,1206554,1546995,1128129,216680,169301,233778,233778,233778,216680,216680,269934,251530,200235,308707,216680,31595,31595,25536,38300,38300,31595,25536,38300,31595,45652,38300,53650
4460,74.3333333333333,1.2388888888888898,14225336,15231539,14366887,15231539,16122565,16885301,14366887,14795922,13944423,12984159,15231539,13119159,9960918,9727666,10436010,9727666,9843934,9960918,9497273,9497273,8604221,9269736,10316162,10436010,5144972,4897636,4736214,4268566,4736214,4656543,4656543,4736214,5144972,4897636,4656543,5228807,1638808,1638808,1329200,1329200,1414308,1329200,1414308,1287649,1371419,1414308,1546995,1371419,5398564,5835149,6475714,7052121,5658422,5924559,6954296,7052121,5746437,6014669,6857174,6105478,1167008,1052372,1052372,1128129,1206554,1089917,1546995,1287649,1592565,1167008,1502095,1128129,200235,169301,216680,308707,216680,200235,216680,251530,251530,200235,308707,216680,31595,31595,25536,38300,31595,31595,25536,31595,31595,45652,38300,53650
5360,89.3333333333333,1.4888888888888898,15231539,16731281,16122565,16425451,17195553,19119192,15085601,16885301,15822620,14366887,16425451,13666424,12059459,12189387,13391337,11801770,12320038,12716336,11674009,11295053,11674009,11674009,12451414,13528517,7860104,7964281,7349823,7052121,8174758,7653872,7756635,7756635,8281060,7653872,7551817,7653872,3407733,3613662,2826902,2765778,2826902,2826902,3078217,2888708,2951195,2951195,3475691,3014365,5061832,5746437,6382104,7052121,5484487,5746437,6760756,6954296,5658422,5835149,6570026,6014669,1089917,979279,979279,1052372,1128129,979279,1502095,1206554,1457866,1089917,1502095,1052372,200235,169301,200235,233778,216680,184442,200235,233778,233778,184442,288993,200235,31595,25536,20122,31595,31595,31595,20122,31595,31595,38300,31595,45652
6260,104.333333333333,1.73888888888888,14795922,17984109,16885301,16885301,17984109,20461036,16122565,17824919,16577998,15525613,17195553,13944423,13528517,13391337,15378210,14652180,14795922,14795922,13391337,13666424,13254885,14940396,15231539,16577998,9269736,9045050,9843934,9383148,9727666,11295053,9497273,10677859,10436010,10078616,10197031,10316162,6014669,6014669,5398564,4979387,5571106,5658422,5924559,5746437,5398564,5571106,6014669,5398564,5061832,5484487,6196986,6857174,5313338,5658422,6570026,6857174,5398564,5571106,6289195,5746437,1052372,979279,943730,979279,1089917,943730,1414308,1167008,1414308,1015493,1414308,1015493,184442,154811,200235,288993,200235,169301,184442,216680,216680,184442,269934,184442,25536,25536,20122,31595,31595,25536,20122,25536,25536,38300,31595,45652
7160,119.333333333333,1.98888888888888,15673750,18628277,17666469,17984109,19284317,20290697,16885301,18791173,17351786,16122565,18466123,14509168,13666424,14652180,16577998,16731281,16577998,16577998,14509168,15231539,14652180,16577998,16577998,17666469,12451414,12849885,12189387,12320038,13254885,13528517,12320038,12849885,12189387,12849885,13391337,12583513,8281060,8604221,7249884,7150651,7653872,8069165,8933776,7756635,7551817,8069165,8933776,7249884,4897636,5313338,6105478,6760756,5144972,5398564,6382104,6665040,5144972,5313338,6105478,5571106,979279,908846,874626,908846,1015493,874626,1287649,1052372,1329200,943730,1287649,908846,154811,140972,184442,251530,184442,154811,169301,200235,200235,154811,251530,169301,20122,20122,15353,31595,31595,25536,15353,25536,25536,31595,25536,38300
8060,134.333333333333,2.23888888888888,16731281,19616798,18304711,19616798,20290697,21498769,17195553,19616798,18628277,17508758,19616798,15085601,14366887,16273640,17040058,17666469,17984109,17666469,14795922,15822620,15673750,17824919,17195553,18466123,14652180,14795922,14795922,14225336,16425451,16731281,14509168,14795922,14795922,15085601,15673750,15231539,10316162,11170175,9383148,8933776,9960918,10556576,11930253,10677859,9612113,11674009,12849885,9960918,4816578,5144972,6014669,6570026,4979387,5228807,6196986,6475714,4979387,5144972,5835149,5398564,908846,874626,841071,841071,908846,808178,1246768,979279,1246768,874626,1206554,841071,140972,127784,169301,251530,169301,140972,154811,184442,184442,140972,233778,154811,20122,20122,11229,25536,62296,20122,15353,20122,20122,31595,25536,31595
8960,149.333333333333,2.48888888888888,17351786,20461036,19284317,20461036,21149866,22924388,18304711,21498769,20290697,18791173,21149866,15822620,14652180,17195553,17666469,18791173,18628277,18466123,15822620,16577998,16885301,19784154,17508758,20290697,15972226,15822620,15972226,15822620,18791173,17984109,15972226,16122565,16273640,16273640,17351786,16577998,12451414,13805059,11546969,11674009,11801770,13805059,14795922,13391337,13119159,14509168,17351786,11930253,4656543,5061832,5835149,6382104,4816578,4979387,6014669,6196986,4736214,4897636,5658422,5144972,874626,775949,775949,775949,808178,744382,1128129,908846,1128129,841071,1128129,775949,127784,103359,140972,200235,154811,127784,140972,169301,154811,127784,216680,140972,15353,15353,11229,20122,53650,20122,11229,20122,15353,25536,20122,31595
