#--- Do not edit. Generated automatically from fig11 ---
#Time_sec,Time_min,Time_hr,A1: K-,sOD=0.25, sϕ=0,A2: K-,sOD=0.25, sϕ=3^-8,A3: K-,sOD=0.25, sϕ=3^-9,A4: K-,sOD=0.25, sϕ=3^-10,A5: K-,sOD=0.25, sϕ=0,A6: K-,sOD=0.25, sϕ=3^-8,A7: K-,sOD=0.25, sϕ=3^-9,A8: K-,sOD=0.25, sϕ=3^-10,A9: K-,sOD=0.25, sϕ=0,A10: K-,sOD=0.25, sϕ=3^-8,A11: K-,sOD=0.25, sϕ=3^-9,A12: K-,sOD=0.25, sϕ=3^-10,B1: K-,sOD=0.125, sϕ=0,B2: K-,sOD=0.125, sϕ=3^-8,B3: K-,sOD=0.125, sϕ=3^-9,B4: K-,sOD=0.125, sϕ=3^-10,B5: K-,sOD=0.125, sϕ=0,B6: K-,sOD=0.125, sϕ=3^-8,B7: K-,sOD=0.125, sϕ=3^-9,B8: K-,sOD=0.125, sϕ=3^-10,B9: K-,sOD=0.125, sϕ=0,B10: K-,sOD=0.125, sϕ=3^-8,B11: K-,sOD=0.125, sϕ=3^-9,B12: K-,sOD=0.125, sϕ=3^-10,C1: K-,sOD=0.0625, sϕ=0,C2: K-,sOD=0.0625, sϕ=3^-8,C3: K-,sOD=0.0625, sϕ=3^-9,C4: K-,sOD=0.0625, sϕ=3^-10,C5: K-,sOD=0.0625, sϕ=0,C6: K-,sOD=0.0625, sϕ=3^-8,C7: K-,sOD=0.0625, sϕ=3^-9,C8: K-,sOD=0.0625, sϕ=3^-10,C9: K-,sOD=0.0625, sϕ=0,C10: K-,sOD=0.0625, sϕ=3^-8,C11: K-,sOD=0.0625, sϕ=3^-9,C12: K-,sOD=0.0625, sϕ=3^-10,D1: K-,sOD=0.03125, sϕ=0,D2: K-,sOD=0.03125, sϕ=3^-8,D3: K-,sOD=0.03125, sϕ=3^-9,D4: K-,sOD=0.03125, sϕ=3^-10,D5: K-,sOD=0.03125, sϕ=0,D6: K-,sOD=0.03125, sϕ=3^-8,D7: K-,sOD=0.03125, sϕ=3^-9,D8: K-,sOD=0.03125, sϕ=3^-10,D9: K-,sOD=0.03125, sϕ=0,D10: K-,sOD=0.03125, sϕ=3^-8,D11: K-,sOD=0.03125, sϕ=3^-9,D12: K-,sOD=0.03125, sϕ=3^-10,E1: K+,sOD=0.25, sϕ=0,E2: K+,sOD=0.25, sϕ=3^-8,E3: K+,sOD=0.25, sϕ=3^-9,E4: K+,sOD=0.25, sϕ=3^-10,E5: K+,sOD=0.25, sϕ=0,E6: K+,sOD=0.25, sϕ=0,E7: K+,sOD=0.25, sϕ=3^-8,E8: K+,sOD=0.25, sϕ=3^-9,E9: K+,sOD=0.25, sϕ=-10,E10: K+,sOD=0.25, sϕ=3^-8,E11: K+,sOD=0.25, sϕ=3^-9,E12: K+,sOD=0.25, sϕ=3^-10,F1: K+,sOD=0.125, sϕ=0,F2: K+,sOD=0.125, sϕ=3^-8,F3: K+,sOD=0.125, sϕ=3^-9,F4: K+,sOD=0.125, sϕ=3^-10,F5: K+,sOD=0.125, sϕ=0,F6: K+,sOD=0.125, sϕ=0,F7: K+,sOD=0.125, sϕ=3^-8,F8: K+,sOD=0.125, sϕ=3^-9,F9: K+,sOD=0.125, sϕ=-10,F10: K+,sOD=0.125, sϕ=3^-8,F11: K+,sOD=0.125, sϕ=3^-9,F12: K+,sOD=0.125, sϕ=3^-10,G1: K+,sOD=0.0625, sϕ=0,G2: K+,sOD=0.0625, sϕ=3^-8,G3: K+,sOD=0.0625, sϕ=3^-9,G4: K+,sOD=0.0625, sϕ=3^-10,G5: K+,sOD=0.0625, sϕ=0,G6: K+,sOD=0.0625, sϕ=0,G7: K+,sOD=0.0625, sϕ=3^-8,G8: K+,sOD=0.0625, sϕ=3^-9,G9: K+,sOD=0.0625, sϕ=3^-10,G10: K+,sOD=0.0625, sϕ=3^-8,G11: K+,sOD=0.0625, sϕ=3^-9,G12: K+,sOD=0.0625, sϕ=3^-10,H1: K+,sOD=0.03125, sϕ=0,H2: K+,sOD=0.03125, sϕ=3^-8,H3: K+,sOD=0.03125, sϕ=3^-9,H4: K+,sOD=0.03125, sϕ=3^-10,H5: K+,sOD=0.03125, sϕ=0,H6: K+,sOD=0.03125, sϕ=0,H7: K+,sOD=0.03125, sϕ=3^-8,H8: K+,sOD=0.03125, sϕ=3^-9,H9: K+,sOD=0.03125, sϕ=3^-10,H10: K+,sOD=0.03125, sϕ=3^-8,H11: K+,sOD=0.03125, sϕ=3^-9,H12: K+,sOD=0.03125, sϕ=3^-10
Time_sec,Time,Time_hr,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
860,14.333333333333302,0.23888888888888898,6475714,5658422,5484487,5228807,5228807,5144972,5144972,5144972,5398564,5398564,5571106,5571106,1781568,1592565,1638808,1638808,1592565,1502095,1457866,1546995,1592565,1638808,1592565,1592565,394114,394114,417106,440755,394114,371778,394114,371778,394114,371778,350099,417106,92120,81530,92120,127784,81530,62296,71589,62296,81530,92120,115247,71589,5144972,5061832,4897636,5313338,4736214,4897636,4979387,5061832,5144972,4897636,5228807,5313338,1546995,1546995,1457866,1457866,1414308,1414308,1414308,1592565,1685722,1502095,1502095,1414308,350099,350099,490026,350099,371778,371778,329075,350099,371778,371778,350099,371778,92120,200235,92120,71589,71589,62296,62296,71589,127784,92120,81530,71589
1760,29.3333333333333,0.48888888888888893,10316162,9269736,9269736,9383148,9269736,8933776,8713362,8713362,9727666,9157037,9727666,9727666,4344779,3897847,3754380,3683678,3475691,3613662,3613662,3544333,3683678,3897847,4044067,4044067,1052372,943730,943730,979279,908846,874626,943730,874626,874626,874626,908846,1015493,251530,200235,216680,269934,200235,169301,184442,169301,200235,216680,269934,216680,7756635,7860104,7653872,8281060,7756635,8174758,7964281,7860104,7964281,7756635,8604221,8388070,2032972,2246250,2138259,2191916,2246250,2138259,2246250,2528086,2586489,2413317,2470362,2138259,417106,417106,624732,490026,515649,515649,440755,465062,490026,490026,490026,515649,103359,127784,103359,81530,81530,71589,71589,81530,154811,103359,103359,92120
2660,44.3333333333333,0.7388888888888892,11930253,12320038,12849885,12189387,12583513,12189387,11046018,12189387,12583513,11930253,13391337,12984159,8174758,7756635,7551817,7052121,7052121,6760756,7052121,7249884,7349823,7450467,7653872,7756635,2888708,2528086,2470362,2528086,2301261,2191916,2085278,2246250,2356950,2246250,2470362,2888708,775949,624732,596472,653653,568871,490026,541931,515649,596472,624732,713477,624732,8933776,9045050,8713362,9497273,9612113,9727666,9383148,8933776,9497273,8933776,9960918,9497273,2138259,2301261,2413317,2470362,2528086,2356950,2470362,2705334,2645571,2645571,2888708,2356950,440755,465062,624732,515649,515649,490026,465062,490026,515649,515649,515649,515649,103359,127784,115247,92120,81530,71589,71589,92120,169301,103359,103359,92120
3560,59.3333333333333,0.9888888888888892,14795922,14795922,15378210,13666424,13805059,13666424,13254885,14940396,14795922,15673750,15673750,15085601,9612113,10078616,10556576,9843934,10316162,9612113,10436010,10556576,10799860,11046018,11046018,10799860,5835149,5313338,5228807,5313338,4979387,4421683,4577565,4499278,4577565,4736214,5571106,6289195,1880107,1638808,1638808,1685722,1502095,1414308,1414308,1329200,1502095,1733308,1781568,1781568,9269736,9269736,8604221,9727666,9727666,9843934,9497273,9383148,9497273,9269736,10078616,9497273,2138259,2356950,2470362,2528086,2586489,2246250,2528086,2645571,2765778,2645571,2951195,2413317,440755,440755,624732,541931,515649,515649,440755,490026,490026,515649,541931,515649,103359,127784,103359,81530,81530,81530,71589,92120,154811,103359,103359,92120
4460,74.3333333333334,1.2388888888888898,17984109,16731281,17824919,17040058,16731281,14509168,15231539,17666469,16731281,18466123,18144040,16885301,10197031,12583513,13119159,11930253,11930253,11046018,12320038,13254885,13254885,13254885,13254885,13944423,8604221,8388070,8388070,8823213,8388070,7653872,7860104,8069165,8281060,8495791,8823213,9727666,4118210,3754380,3544333,3613662,3273874,3142752,3142752,3014365,3340461,3970613,3825770,4421683,9157037,9383148,8388070,9727666,9497273,9960918,9612113,9157037,9383148,9157037,10197031,9157037,2138259,2246250,2528086,2528086,2528086,2246250,2413317,2586489,2645571,2645571,2826902,2301261,417106,417106,596472,490026,515649,490026,417106,465062,465062,515649,515649,490026,103359,115247,103359,81530,81530,71589,62296,81530,140972,103359,103359,92120
5360,89.3333333333334,1.4888888888888898,18791173,17508758,18791173,17666469,16885301,14366887,16731281,18304711,18628277,19284317,20121104,18954811,13391337,15231539,15525613,13254885,14225336,12451414,14366887,16273640,15673750,15673750,15673750,16122565,10316162,10316162,10197031,10677859,10197031,9727666,10436010,10677859,10799860,10436010,11420651,11546969,7052121,6760756,6475714,6570026,6014669,6289195,6105478,6014669,6289195,7349823,6857174,7551817,9269736,9497273,8281060,9612113,9612113,9727666,9612113,9269736,9269736,9045050,10078616,8933776,2032972,2085278,2413317,2413317,2413317,2138259,2356950,2413317,2528086,2528086,2705334,2246250,394114,394114,541931,465062,465062,465062,394114,440755,440755,490026,490026,465062,92120,103359,92120,71589,71589,62296,62296,81530,127784,92120,92120,81530
6260,104.333333333333,1.7388888888888898,18791173,19119192,19284317,18791173,18144040,14652180,17351786,18304711,19284317,20121104,20632123,20290697,13666424,16577998,16885301,14940396,15673750,14795922,16273640,17351786,16731281,17666469,17040058,16885301,12320038,12059459,12984159,12849885,12189387,12189387,12583513,13391337,13666424,13254885,14366887,14225336,9269736,8713362,8495791,9269736,8174758,8388070,8495791,8495791,8713362,9727666,9045050,10197031,9045050,9383148,8069165,9383148,9269736,9497273,9157037,9045050,9045050,8823213,9612113,8604221,1930387,1981342,2301261,2301261,2301261,1981342,2246250,2356950,2413317,2413317,2528086,2085278,371778,371778,515649,465062,465062,440755,371778,394114,417106,465062,440755,440755,92120,103359,92120,71589,71589,62296,53650,71589,127784,81530,92120,81530
7160,119.333333333333,1.9888888888888898,20121104,20290697,20461036,20121104,18791173,15525613,18304711,19784154,19784154,21498769,22563476,22027745,14509168,17666469,18954811,16731281,15673750,15673750,17508758,18304711,17666469,18954811,17508758,18466123,15085601,13944423,15525613,16122565,16425451,13944423,14940396,15972226,17351786,16731281,18304711,15822620,10197031,10799860,11046018,10922579,9960918,10556576,10799860,12189387,10556576,12583513,11674009,12059459,8604221,9045050,7653872,9157037,9045050,9157037,8823213,8823213,8823213,8604221,9045050,8388070,1830500,1930387,2138259,2138259,2191916,1880107,2138259,2246250,2246250,2301261,2413317,1981342,329075,329075,490026,394114,417106,394114,350099,371778,371778,417106,417106,394114,81530,92120,81530,62296,62296,53650,53650,62296,115247,71589,81530,71589
8060,134.333333333333,2.2388888888888903,20290697,21149866,22027745,21498769,20461036,15231539,18628277,21149866,20803956,23288311,24398179,24025203,14509168,18628277,20632123,17351786,16731281,17040058,18791173,19119192,18954811,20121104,17824919,19450185,15972226,15822620,16731281,18144040,18144040,14795922,15822620,16885301,18304711,17824919,20121104,17195553,12583513,12716336,13666424,12849885,12059459,12984159,13391337,14509168,12849885,15822620,14509168,15525613,8281060,8713362,7551817,8713362,8713362,8823213,8495791,8495791,8388070,8174758,8495791,7964281,1733308,1830500,1981342,1981342,2032972,1781568,1981342,2138259,2085278,2191916,2301261,1880107,308707,308707,465062,371778,371778,371778,308707,329075,350099,394114,371778,371778,71589,81530,71589,53650,62296,53650,45652,62296,115247,71589,81530,62296
8960,149.333333333333,2.4888888888888903,21323943,22384148,23288311,22384148,20803956,15378210,19119192,22924388,22563476,25727433,27690928,26699665,15972226,19284317,21850670,18144040,17351786,17984109,20290697,19784154,19784154,21498769,18954811,21674345,16885301,16577998,18628277,20290697,19616798,15673750,18144040,18304711,21323943,19616798,22027745,18628277,13666424,14940396,15822620,15085601,13666424,14795922,15378210,17824919,14225336,18144040,16577998,17824919,7860104,8281060,7249884,8388070,8495791,8604221,8281060,8174758,7964281,7860104,8174758,7349823,1592565,1733308,1830500,1880107,1880107,1685722,1880107,1981342,2032972,2032972,2191916,1781568,269934,269934,417106,329075,329075,329075,269934,288993,308707,350099,329075,350099,62296,71589,71589,45652,45652,45652,38300,53650,103359,53650,71589,53650
