#--- Do not edit. Generated automatically from fig12 ---
#Time_sec,Time_min,Time_hr,A1: K-,sOD=0.25, sϕ=0,A2: K-,sOD=0.25, sϕ=3^-1,A3: K-,sOD=0.25, sϕ=3^-2,A4: K-,sOD=0.25, sϕ=3^-3,A5: K-,sOD=0.25, sϕ=3^-4,A6: K-,sOD=0.25, sϕ=3^-5,A7: K-,sOD=0.25, sϕ=3^-6,A8: K-,sOD=0.25, sϕ=3^-7,A9: K-,sOD=0.25, sϕ=3^-8,A10: K-,sOD=0.25, sϕ=3^-9,A11: K-,sOD=0.25, sϕ=3^-10,A12: K-,sOD=0.25, sϕ=3^0(neat),B1: K-,sOD=0.125, sϕ=0,B2: K-,sOD=0.125, sϕ=3^-1,B3: K-,sOD=0.125, sϕ=3^-2,B4: K-,sOD=0.125, sϕ=3^-3,B5: K-,sOD=0.125, sϕ=3^-4,B6: K-,sOD=0.125, sϕ=3^-5,B7: K-,sOD=0.125, sϕ=3^-6,B8: K-,sOD=0.125, sϕ=3^-7,B9: K-,sOD=0.125, sϕ=3^-8,B10: K-,sOD=0.125, sϕ=3^-9,B11: K-,sOD=0.125, sϕ=3^-10,B12: K-,sOD=0.125, sϕ=3^0 (neat),C1: K-,sOD=0.0625, sϕ=0,C2: K-,sOD=0.0625, sϕ=3^-1,C3: K-,sOD=0.0625, sϕ=3^-2,C4: K-,sOD=0.0625, sϕ=3^-3,C5: K-,sOD=0.0625, sϕ=3^-4,C6: K-,sOD=0.0625, sϕ=3^-5,C7: K-,sOD=0.0625, sϕ=3^-6,C8: K-,sOD=0.0625, sϕ=3^-7,C9: K-,sOD=0.0625, sϕ=3^-8,C10: K-,sOD=0.0625, sϕ=3^-9,C11: K-,sOD=0.0625, sϕ=3^-10,C12: K-,sOD=0.0625, sϕ=3^0(neat),D1: K-,sOD=0.03125, sϕ=0,D2: K-,sOD=0.03125, sϕ=3^-1,D3: K-,sOD=0.03125, sϕ=3^-2,D4: K-,sOD=0.03125, sϕ=3^-3,D5: K-,sOD=0.03125, sϕ=3^-4,D6: K-,sOD=0.03125, sϕ=3^-5,D7: K-,sOD=0.03125, sϕ=3^-6,D8: K-,sOD=0.03125, sϕ=3^-7,D9: K-,sOD=0.03125, sϕ=3^-8,D10: K-,sOD=0.03125, sϕ=3^-9,D11: K-,sOD=0.03125, sϕ=3^-10,D12: K-,sOD=0.03125, sϕ=3^-0(neat),E1: K+,sOD=0.25, sϕ=0,E2: K+,sOD=0.25, sϕ=3^-1,E3: K+,sOD=0.25, sϕ=3^-2,E4: K+,sOD=0.25, sϕ=3^-3,E5: K+,sOD=0.25, sϕ=3^-4,E6: K+,sOD=0.25, sϕ=3^-5,E7: K+,sOD=0.25, sϕ=3^-6,E8: K+,sOD=0.25, sϕ=3^-7,E9: K+,sOD=0.25, sϕ=3^-8,E10: K+,sOD=0.25, sϕ=3^-9,E11: K+,sOD=0.25, sϕ=3^-10,E12: K+,sOD=0.25, sϕ=3^0 (neat),F1: K+,sOD=0.125, sϕ=0,F2: K+,sOD=0.125, sϕ=3^-1,F3: K+,sOD=0.125, sϕ=3^-2,F4: K+,sOD=0.125, sϕ=3^-3,F5: K+,sOD=0.125, sϕ=3^-4,F6: K+,sOD=0.125, sϕ=3^-5,F7: K+,sOD=0.125, sϕ=3^-6,F8: K+,sOD=0.125, sϕ=3^-7,F9: K+,sOD=0.125, sϕ=3^-8,F10: K+,sOD=0.125, sϕ=3^-9,F11: K+,sOD=0.125, sϕ=3^-10,F12: K+,sOD=0.125, sϕ=3^0(neat),G1: K+,sOD=0.0625, sϕ=0,G2: K+,sOD=0.0625, sϕ=3^-1,G3: K+,sOD=0.0625, sϕ=3^-2,G4: K+,sOD=0.0625, sϕ=3^-3,G5: K+,sOD=0.0625, sϕ=3^-4,G6: K+,sOD=0.0625, sϕ=3^-5,G7: K+,sOD=0.0625, sϕ=3^-6,G8: K+,sOD=0.0625, sϕ=3^-7,G9: K+,sOD=0.0625, sϕ=3^-8,G10: K+,sOD=0.0625, sϕ=3^-9,G11: K+,sOD=0.0625, sϕ=3^-10,G12: K+,sOD=0.0625, sϕ=3^0(neat),H1: K+,sOD=0.03125, sϕ=0,H2: K+,sOD=0.03125, sϕ=3^-1,H3: K+,sOD=0.03125, sϕ=3^-2,H4: K+,sOD=0.03125, sϕ=3^-3,H5: K+,sOD=0.03125, sϕ=3^-4,H6: K+,sOD=0.03125, sϕ=3^-5,H7: K+,sOD=0.03125, sϕ=3^-6,H8: K+,sOD=0.03125, sϕ=3^-7,H9: K+,sOD=0.03125, sϕ=3^-8,H10: K+,sOD=0.03125, sϕ=3^-9,H11: K+,sOD=0.03125, sϕ=3^-10,H12: K+,sOD=0.03125, sϕ=3^0(neat)
Time_sec,Time,Time_hr,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
860,14.333333333333302,0.23888888888888798,5658422,5484487,5061832,5144972,5228807,5061832,4736214,5061832,4897636,4577565,4816578,5313338,1981342,1592565,1592565,1546995,1546995,1502095,1457866,1638808,1502095,1371419,2826902,1502095,350099,329075,350099,371778,329075,308707,329075,329075,308707,308707,308707,308707,53650,62296,62296,62296,53650,71589,45652,45652,62296,81530,62296,45652,5144972,4577565,4816578,4816578,4816578,4736214,4656543,4736214,4979387,4816578,5228807,5313338,1546995,1733308,1457866,1414308,1502095,1502095,1733308,1502095,1502095,1546995,1371419,1414308,288993,308707,329075,288993,329075,269934,371778,288993,417106,568871,417106,371778,53650,62296,62296,53650,62296,45652,71589,45652,53650,62296,45652,62296
1760,29.3333333333333,0.48888888888888793,9269736,9157037,8933776,8823213,9045050,9045050,8713362,8823213,9157037,8823213,8933776,9045050,4499278,3825770,4044067,3754380,3825770,3683678,3407733,3897847,3273874,3207971,6014669,4044067,943730,874626,841071,874626,841071,775949,808178,808178,775949,744382,808178,841071,169301,184442,169301,154811,154811,169301,154811,140972,169301,184442,169301,154811,7450467,7349823,7349823,7349823,7551817,7450467,7052121,7860104,7964281,7756635,8281060,8281060,2191916,2528086,2191916,2085278,2191916,2246250,2586489,2246250,2246250,2413317,2191916,2085278,394114,394114,440755,371778,465062,350099,490026,417106,568871,744382,568871,490026,62296,71589,71589,71589,71589,62296,81530,62296,62296,81530,62296,71589
2660,44.3333333333333,0.7388888888888879,12059459,12059459,11546969,11674009,12189387,11420651,11420651,11546969,12849885,12059459,11170175,11930253,8713362,7653872,7860104,7756635,7860104,7249884,7249884,7551817,7653872,7349823,10556576,7964281,2586489,2356950,2246250,2301261,2191916,1930387,2191916,2138259,2032972,2191916,2138259,2301261,568871,515649,490026,515649,465062,490026,440755,394114,490026,490026,490026,465062,8388070,8069165,8281060,8388070,8388070,8388070,7860104,8604221,9157037,8388070,8933776,9383148,2301261,2645571,2301261,2191916,2246250,2301261,2765778,2301261,2356950,2586489,2356950,2191916,417106,394114,440755,394114,465062,371778,490026,417106,541931,775949,624732,515649,62296,81530,71589,71589,71589,62296,81530,62296,62296,71589,62296,71589
3560,59.3333333333333,0.9888888888888879,14366887,14509168,14225336,13254885,15378210,14225336,13254885,14509168,14652180,14366887,12984159,13528517,10556576,10316162,10799860,10556576,10922579,10556576,9960918,10799860,10677859,10922579,14084515,10799860,5144972,5061832,4816578,4979387,4736214,4118210,4499278,4577565,4344779,4421683,4421683,4656543,1414308,1371419,1246768,1287649,1206554,1246768,1167008,979279,1246768,1287649,1287649,1246768,8713362,8174758,8281060,8495791,8604221,8495791,7964281,8604221,9157037,8174758,9157037,8713362,2301261,2645571,2301261,2138259,2191916,2301261,2765778,2356950,2356950,2586489,2356950,2191916,417106,394114,440755,371778,465062,371778,490026,417106,541931,775949,596472,515649,53650,71589,71589,62296,71589,62296,81530,53650,62296,71589,62296,71589
4460,74.3333333333333,1.2388888888888898,16577998,16577998,15822620,14225336,16122565,15085601,14652180,15822620,16731281,16731281,16425451,14940396,11674009,11930253,13528517,12451414,13391337,12189387,12059459,13528517,12984159,13391337,17824919,12451414,8495791,8495791,8281060,8281060,8281060,7349823,7860104,7964281,7756635,7756635,7860104,7551817,3142752,3014365,2645571,2826902,2705334,2765778,2586489,2301261,2826902,3142752,2888708,2645571,8933776,8174758,8069165,8495791,8604221,8495791,7653872,8388070,9157037,7964281,8933776,8604221,2191916,2528086,2191916,2085278,2191916,2191916,2645571,2301261,2413317,2470362,2191916,2032972,394114,394114,417106,371778,440755,350099,490026,394114,541931,744382,596472,490026,62296,71589,62296,62296,71589,53650,81530,53650,62296,71589,53650,71589
5360,89.3333333333333,1.4888888888888898,17508758,17351786,17040058,15085601,17195553,16731281,15822620,16122565,17984109,17666469,17040058,17040058,12984159,14225336,15231539,15231539,15378210,14366887,14225336,16425451,15378210,15972226,21149866,15972226,10197031,9960918,10078616,10197031,10436010,9269736,10197031,10078616,9727666,9843934,10197031,9960918,5746437,5484487,4979387,5228807,4979387,5144972,4897636,4816578,5228807,6105478,5484487,5835149,8713362,8069165,7860104,8388070,8495791,8495791,7249884,7964281,9045050,7756635,8713362,8388070,2138259,2413317,2138259,1981342,2085278,2085278,2470362,2191916,2301261,2301261,2085278,2085278,371778,371778,394114,350099,394114,350099,465062,394114,515649,713477,541931,465062,53650,62296,62296,62296,62296,53650,71589,53650,53650,62296,53650,62296
6260,104.333333333333,1.73888888888888,18628277,18954811,17984109,15972226,18304711,16885301,17040058,16731281,18466123,18954811,18466123,17040058,14652180,15085601,15972226,15972226,17040058,15231539,15378210,19119192,16731281,17040058,18628277,16425451,12583513,12320038,11930253,11420651,13119159,11546969,12984159,12189387,12451414,13254885,12716336,12984159,8281060,8604221,6954296,7653872,7150651,7052121,7052121,7150651,7653872,8388070,7860104,7964281,8604221,7756635,7756635,8069165,8388070,8281060,6954296,7756635,8713362,7450467,8495791,7964281,2032972,2246250,1981342,1880107,1930387,1930387,2413317,2085278,2138259,2246250,2032972,1981342,350099,329075,371778,329075,371778,329075,440755,371778,465062,683234,515649,440755,53650,62296,62296,53650,62296,53650,71589,45652,53650,62296,45652,62296
7160,119.333333333333,1.98888888888888,18791173,19450185,19284317,16425451,18628277,17351786,17666469,17351786,20121104,19616798,19450185,17984109,15525613,16122565,17040058,16577998,17666469,15525613,16273640,20632123,16885301,18628277,20632123,17195553,14225336,12984159,13666424,14509168,15525613,13666424,15822620,14366887,14795922,15972226,15231539,15231539,10677859,10556576,9045050,9157037,9045050,9383148,9269736,9383148,10436010,10799860,10436010,10078616,8174758,7450467,7249884,7860104,8069165,8069165,6665040,7450467,8281060,7150651,8069165,7551817,1930387,2191916,1830500,1781568,1781568,1880107,2246250,1981342,1981342,2138259,1930387,1830500,329075,329075,350099,269934,329075,288993,394114,329075,440755,653653,490026,394114,45652,53650,53650,45652,53650,45652,62296,38300,45652,53650,38300,53650
8060,134.333333333333,2.23888888888888,20632123,20461036,20121104,17195553,19284317,18144040,18144040,17666469,22384148,20632123,21498769,18628277,16577998,18144040,17508758,16731281,17824919,16577998,17824919,22384148,17508758,19784154,23288311,19284317,15085601,13528517,13528517,14652180,17040058,14795922,17195553,15525613,16273640,17666469,16885301,16122565,13805059,13119159,10197031,11420651,10677859,10922579,11801770,11930253,13528517,13944423,13254885,12716336,7860104,7150651,7150651,7450467,7756635,7653872,6382104,7052121,7964281,6857174,7653872,7349823,1733308,2032972,1685722,1638808,1685722,1781568,2138259,1830500,1880107,2032972,1830500,1733308,288993,288993,308707,251530,329075,269934,371778,308707,394114,624732,465062,371778,45652,53650,53650,38300,45652,38300,62296,38300,38300,53650,38300,53650
8960,149.333333333333,2.48888888888888,21498769,22027745,21674345,17984109,20121104,19284317,18791173,18628277,24211313,22384148,23288311,20803956,18466123,19784154,18466123,17040058,18954811,18144040,19119192,24398179,18628277,20976537,24963314,20461036,15231539,14084515,13805059,15822620,18144040,15673750,18304711,16731281,17040058,18954811,18466123,16731281,16577998,15378210,12059459,13391337,11801770,12583513,14225336,13944423,15972226,16122565,15231539,14366887,7551817,6857174,6857174,7150651,7551817,7349823,6105478,6760756,7653872,6570026,7450467,7052121,1685722,1981342,1685722,1502095,1592565,1685722,2032972,1733308,1781568,1930387,1733308,1638808,269934,269934,269934,216680,288993,251530,329075,288993,394114,596472,440755,350099,38300,45652,45652,38300,45652,38300,53650,31595,38300,45652,31595,45652
