#--- Do not edit. Generated automatically from fig15i ---
#Time_sec,Time_min,Time_hr,A7: Amp+,LB_only,H4: 631X+261x_medium,no_phages,A10: Amp+,631X+261x_medium=3/5,H5: 631+261X,no_phages,B10: Amp+,631+261x_medium=3/5,H6: 631∆G3P+261X,no_phages,C10: Amp+,631∆G3P+261x_medium=3/5,H7: 631∆G3P+Kanϕ_medium,no_phages,D10: Amp+,631∆G3P+Kanϕ_medium=3/5,H8: 631+Kanϕ,unfiltered-50kDa_medium,no_phages,E10: Amp+,631+Kanϕ,unfiltered-50kDa,medium=3/5,H9: 631+Kanϕ,filtered-50kDa,medium,no_phages,F10: Amp+,631+Kanϕ,filtered-50kDa,medium=3/5,H10: 631+_phagemid_carrying_the_G3P,no_phages,G10: Amp+,631+phagemid,medium=3/5
Time_sec,Time,Time_hr,A7,H4,A10,H5,B10,H6,C10,H7,D10,H8,E10,H9,F10,H10,G10
860,14.333333333333302,0.23888888888889998,20122,53650,38300,31595,31595,31595,25536,25536,31595,25536,38300,31595,38300,38300,38300
1760,29.3333333333333,0.48888888888890003,15353,71589,38300,45652,31595,45652,25536,45652,31595,38300,38300,45652,38300,53650,38300
2660,44.3333333333333,0.7388888888889,7749,115247,15353,81530,15353,81530,11229,81530,20122,62296,20122,81530,25536,81530,15353
3560,59.3333333333333,0.9888888888889,4913,200235,11229,154811,11229,169301,7749,169301,11229,127784,15353,154811,20122,127784,11229
4460,74.3333333333333,1.2388888888888998,4913,394114,11229,308707,11229,329075,7749,350099,11229,269934,15353,329075,15353,233778,11229
5360,89.3333333333333,1.4888888888889,4913,775949,11229,596472,11229,713477,7749,713477,11229,596472,11229,624732,15353,371778,11229
6260,104.333333333333,1.7388888888890002,4913,1502095,11229,1128129,11229,1287649,7749,1414308,11229,1371419,11229,1246768,25536,653653,11229
7160,119.333333333333,1.9888888888890002,4913,2765778,11229,2138259,11229,2586489,7749,2826902,11229,2826902,15353,2470362,20122,1089917,11229
8060,134.333333333333,2.238888888889,4913,4897636,11229,4044067,11229,4499278,7749,5144972,11229,5484487,11229,4577565,20122,1880107,11229
8960,149.333333333333,2.488888888889,4913,7450467,11229,6382104,11229,6857174,7749,7450467,11229,8604221,11229,7349823,15353,3014365,11229
9860,164.333333333333,2.738888888889,4913,9727666,11229,8933776,11229,9045050,7749,9960918,11229,11674009,11229,9612113,15353,4656543,11229
10760,179.333333333333,2.988888888889,4913,11930253,11229,11295053,11229,11420651,7749,12451414,11229,15085601,11229,11930253,15353,6475714,11229
11660,194.333333333333,3.238888888889,4913,13805059,11229,13528517,11229,13119159,7749,14509168,11229,17666469,15353,13805059,15353,7860104,11229
12560,209.333333333333,3.488888888889,4913,15378210,11229,15231539,7749,14795922,7749,15972226,11229,19616798,11229,15822620,11229,9612113,11229
13460,224.333333333333,3.738888888889,4913,16731281,11229,16885301,11229,15673750,7749,17040058,11229,21850670,11229,16885301,15353,11295053,11229
14360,239.333333333333,3.988888888889,4913,17351786,11229,17984109,7749,16273640,7749,18144040,11229,24398179,11229,17195553,15353,11546969,11229
15260,254.333333333333,4.238888888889,4913,17666469,11229,18628277,7749,16577998,7749,18954811,11229,26896394,15353,18791173,15353,12189387,11229
16160,269.33333333333303,4.488888888889,4913,18144040,11229,19119192,11229,16731281,7749,19784154,11229,30357657,11229,18954811,15353,12189387,11229
17060,284.33333333333303,4.738888888889,4913,18466123,11229,19952256,11229,16731281,7749,20803956,11229,34489194,15353,19119192,15353,12059459,11229
17960,299.33333333333303,4.988888888889,4913,18791173,11229,20632123,11229,16577998,7749,21323943,11229,39382101,11229,19284317,15353,11930253,11229
18860,314.33333333333303,5.238888888889,4913,19284317,11229,21498769,11229,16577998,7749,22205571,11229,44879846,11229,19784154,11229,11801770,11229
19760,329.33333333333303,5.488888888889001,4913,19784154,11229,22743556,11229,17040058,7749,23471403,15353,49664138,15353,20461036,15353,11546969,11229
20660,344.333333333333,5.738888888889001,4913,20290697,11229,24025203,11229,17351786,7749,24585801,11229,53281136,11229,21498769,15353,11420651,11229
21560,359.333333333333,5.988888888889001,4913,20976537,11229,24774179,11229,17824919,7749,25920360,11229,57034792,15353,23105973,15353,11674009,11229
22460,374.333333333333,6.238888888889001,4913,21674345,11229,25727433,11229,18144040,11229,27292136,11229,61231098,15353,24211313,15353,11674009,11229
23360,389.333333333333,6.488888888889001,4913,22384148,11229,26896394,11229,18628277,11229,28092773,11229,64013537,15353,25535266,15353,11674009,11229
24260,404.333333333333,6.738888888889001,4913,23105973,11229,27891469,11229,18954811,11229,29730759,11229,68474553,11229,27292136,15353,11801770,11229
