#--- Do not edit. Generated automatically from fig15i_complete ---
#Time_sec,Time_min,Time_hr,A1: Amp-,631X+261x medium=0,A2: Amp-,631X+261x medium=1/5,A3: Amp-,631X+261x medium=2/5,A4: Amp-,631X+261x medium=3/5,A5: Amp-,631X+261x medium=4/5,A6: Amp-,631X+261x medium=5/5,A7: Amp+,631X+261x medium=0,A8:  Amp+,631X+261x medium=1/5,A9:  Amp+,631X+261x medium=2/5,A10:  Amp+,631X+261x medium=3/5,A11:  Amp+,631X+261x medium=4/5,A12: Amp+,631X+261x medium=5/5,B1: Amp-,631+261x medium=0,B2: Amp-,631+261x medium=1/5,B3: Amp-,631+261x medium=2/5,B4: Amp-,631+261x medium=3/5,B5: Amp-,631+261x medium=4/5,B6: Amp-,631+261x medium=5/5,B7: Amp+,631+261x medium=0,B8:  Amp+,631+261x medium=1/5,B9:  Amp+,631+261x medium=2/5,B10:  Amp+,631+261x medium=3/5,B11:  Amp+,631+261x medium=4/5,B12: Amp+,631+261x medium=5/5,C1: Amp-,631∆G3P+261x medium=0,C2: Amp-,631∆G3P+261x medium=1/5,C3: Amp-,631∆G3P+261x medium=2/5,C4: Amp-,631∆G3P+261x medium=3/5,C5: Amp-,631∆G3P+261x medium=4/5,C6: Amp-,631∆G3P+261x medium=5/5,C7: Amp+,631∆G3P+261x medium=0,C8:  Amp+,631∆G3P+261x medium=1/5,C9:  Amp+,631∆G3P+261x medium=2/5,C10:  Amp+,631∆G3P+261x medium=3/5,C11:  Amp+,631∆G3P+261x medium=4/5,C12: Amp+,631∆G3P+261x medium=5/5,D1: Amp-,631∆G3P+Kanϕ medium=0,D2: Amp-,631∆G3P+Kanϕ medium=1/5,D3: Amp-,631∆G3P+Kanϕ medium=2/5,D4: Amp-,631∆G3P+Kanϕ medium=3/5,D5: Amp-,631∆G3P+Kanϕ medium=4/5,D6: Amp-,631∆G3P+Kanϕ medium=5/5,D7: Amp+,631∆G3P+Kanϕ medium=0,D8:  Amp+,631∆G3P+Kanϕ medium=1/5,D9:  Amp+,631∆G3P+Kanϕ medium=2/5,D10:  Amp+,631∆G3P+Kanϕ medium=3/5,D11:  Amp+,631∆G3P+Kanϕ medium=4/5,D12: Amp+,631∆G3P+Kanϕ medium=5/5,E1: Amp-,631+Kanϕ, unfiltered-50kDa, medium=0,E2: Amp-,631+Kanϕ, unfiltered-50kDa, medium=1/5,E3: Amp-,631+Kanϕ, unfiltered-50kDa, medium=2/5,E4: Amp-,631+Kanϕ, unfiltered-50kDa, medium=3/5,E5: Amp-,631+Kanϕ, unfiltered-50kDa, medium=4/5,E6: Amp-,631+Kanϕ, unfiltered-50kDa, medium=5/5,E7: Amp+,631+Kanϕ, unfiltered-50kDa, medium=0,E8:  Amp+,631+Kanϕ, unfiltered-50kDa, medium=1/5,E9:  Amp+,631+Kanϕ, unfiltered-50kDa, medium=2/5,E10:  Amp+,631+Kanϕ, unfiltered-50kDa, medium=3/5,E11:  Amp+,631+Kanϕ, unfiltered-50kDa, medium=4/5,E12: Amp+,631+Kanϕ, unfiltered-50kDa, medium=5/5,F1: Amp-,631+Kanϕ, filtered-50kDa, medium=0,F2: Amp-,631+Kanϕ, filtered-50kDa, medium=1/5,F3: Amp-,631+Kanϕ, filtered-50kDa, medium=2/5,F4:  Amp-,631+Kanϕ, filtered-50kDa, medium=3/5,F5: Amp-,631+Kanϕ, filtered-50kDa, medium=4/5,F6: Amp-,631+Kanϕ, filtered-50kDa, medium=5/5,F7: Amp+,631+Kanϕ, filtered-50kDa, medium=0,F8:  Amp+,631+Kanϕ, filtered-50kDa, medium=1/5,F9:  Amp+,631+Kanϕ, filtered-50kDa, medium=2/5,F10:  Amp+,631+Kanϕ, filtered-50kDa, medium=3/5,F11:  Amp+,631+Kanϕ, filtered-50kDa, medium=4/5,F12: Amp+,631+Kanϕ, filtered-50kDa, medium=5/5,G1: Amp-,631+phagemid, medium=0,G2: Amp-,631+phagemid,  medium=1/5,G3:Amp-,631+phagemid,  medium=2/5,G4: Amp-,631+phagemid,  medium=3/5,G5:  Amp-,631+phagemid,  medium=4/5,G6: Amp-,631+phagemid,  medium=5/5,G7: Amp+,631+phagemid, medium=0,G8:  Amp+,631+phagemid, medium=1/5,G9:  Amp+,631+phagemid, medium=2/5,G10:  Amp+,631+phagemid,  medium=3/5,G11:  Amp+,631+phagemid,  medium=4/5,G12: Amp+,631+phagemid,  medium=5/5,H1: LB Blank,H2: LB Blank,H3: only LB, no phages,H4: 631X+261x medium, no phages,H5: 631+261X, no phages,H6: 631∆G3P+261X, no phages,H7: 631∆G3P+Kanϕ medium, no phages,H8: 631+Kanϕ, unfiltered-50kDa medium, no phages,H9: 631+Kanϕ, filtered-50kDa, medium, no phages,H10: 631+ phagemid carrying the G3P, no phages,H11: LB/Amp Blank,H12: LB/Amp Blank
Time_sec,Time,Time_hr,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
860,14.333333333333302,0.23888888888888898,38300,38300,15353,45652,53650,31595,20122,38300,38300,38300,25536,20122,31595,38300,45652,31595,38300,31595,25536,38300,31595,31595,31595,38300,25536,53650,38300,25536,38300,25536,20122,25536,31595,25536,31595,31595,25536,53650,45652,25536,31595,20122,7749,25536,31595,31595,25536,25536,31595,53650,38300,31595,25536,20122,15353,31595,25536,38300,53650,31595,31595,71589,31595,38300,25536,2032972,53650,31595,31595,38300,31595,31595,20122,25536,53650,31595,38300,31595,25536,31595,38300,38300,25536,31595,4913,7749,62296,53650,31595,31595,25536,25536,31595,38300,2720,4913
1760,29.3333333333333,0.48888888888888893,71589,62296,31595,62296,81530,45652,15353,38300,38300,38300,25536,25536,45652,71589,71589,45652,53650,38300,25536,31595,31595,31595,31595,38300,38300,81530,53650,38300,62296,38300,15353,31595,31595,25536,31595,31595,45652,81530,62296,38300,45652,31595,4913,20122,25536,31595,31595,31595,53650,81530,53650,45652,38300,31595,15353,25536,25536,38300,53650,31595,53650,115247,45652,45652,45652,184442,45652,31595,25536,38300,31595,38300,38300,45652,71589,53650,53650,45652,25536,31595,31595,38300,31595,31595,2720,7749,81530,71589,45652,45652,45652,38300,45652,53650,2720,4913
2660,44.3333333333333,0.7388888888888892,140972,115247,71589,115247,140972,81530,7749,20122,20122,15353,7749,7749,92120,154811,127784,81530,103359,71589,11229,15353,15353,15353,15353,20122,92120,184442,92120,71589,103359,62296,7749,11229,11229,11229,15353,15353,92120,184442,115247,71589,81530,62296,1170,11229,11229,20122,15353,15353,103359,154811,103359,81530,71589,62296,7749,15353,11229,20122,31595,15353,103359,233778,81530,81530,81530,1880107,38300,15353,11229,25536,15353,20122,81530,92120,127784,92120,103359,92120,15353,20122,15353,15353,15353,15353,4913,7749,169301,115247,81530,81530,81530,62296,81530,81530,2720,4913
3560,59.3333333333333,0.9888888888888892,288993,233778,169301,216680,269934,154811,4913,15353,15353,11229,4913,4913,200235,329075,251530,169301,216680,140972,11229,11229,7749,11229,7749,15353,184442,417106,184442,154811,200235,115247,4913,11229,11229,7749,7749,11229,216680,417106,216680,140972,169301,115247,1170,7749,7749,11229,7749,11229,216680,308707,200235,169301,154811,127784,7749,11229,7749,15353,25536,11229,233778,465062,169301,184442,169301,2191916,38300,11229,7749,20122,7749,11229,184442,200235,251530,184442,184442,169301,11229,15353,11229,11229,7749,7749,2720,7749,329075,200235,154811,169301,169301,127784,154811,127784,2720,4913
4460,74.3333333333333,1.2388888888888898,653653,515649,440755,490026,568871,308707,4913,15353,15353,11229,4913,4913,490026,841071,541931,394114,465062,288993,11229,11229,7749,11229,7749,11229,417106,979279,371778,350099,417106,233778,4913,7749,7749,7749,7749,11229,515649,1015493,490026,329075,371778,251530,1170,4913,7749,11229,7749,7749,490026,713477,440755,394114,350099,308707,7749,11229,7749,15353,25536,11229,515649,1052372,371778,394114,371778,3340461,38300,11229,7749,15353,7749,11229,440755,465062,515649,371778,371778,350099,11229,20122,11229,11229,7749,7749,4913,7749,808178,394114,308707,329075,350099,269934,329075,233778,2720,4913
5360,89.3333333333333,1.4888888888888898,1502095,1246768,1052372,1089917,1167008,653653,4913,15353,15353,11229,4913,4913,1089917,1781568,1206554,874626,979279,568871,7749,11229,7749,11229,7749,11229,1015493,2085278,841071,808178,908846,515649,4913,7749,7749,7749,7749,11229,1246768,2191916,1052372,713477,808178,541931,1170,7749,7749,11229,7749,7749,1167008,1638808,1052372,979279,874626,713477,7749,11229,7749,11229,25536,11229,1206554,2191916,808178,808178,808178,6289195,31595,11229,7749,15353,7749,11229,1089917,1089917,1128129,808178,775949,653653,11229,20122,11229,11229,7749,7749,4913,7749,1830500,775949,596472,713477,713477,596472,624732,371778,2720,4913
6260,104.333333333333,1.7388888888888898,3014365,2645571,2246250,2246250,2301261,1287649,4913,15353,15353,11229,4913,4913,2356950,3754380,2586489,1930387,1930387,1167008,11229,11229,7749,11229,7749,11229,2301261,4344779,1781568,1685722,1880107,1015493,4913,7749,7749,7749,7749,11229,2586489,4656543,2301261,1546995,1685722,1128129,1170,7749,7749,11229,7749,7749,2645571,3475691,2356950,2085278,2032972,1592565,7749,11229,7749,11229,25536,11229,2645571,4118210,2085278,1781568,1685722,9727666,31595,11229,7749,25536,7749,11229,2528086,2528086,2586489,1781568,1685722,1246768,11229,15353,11229,11229,7749,7749,4913,7749,3897847,1502095,1128129,1287649,1414308,1371419,1246768,653653,2720,4913
7160,119.333333333333,1.9888888888888898,5571106,4656543,4268566,4044067,4268566,2413317,4913,15353,15353,11229,4913,4913,4816578,6475714,4897636,3754380,3754380,2191916,7749,11229,7749,11229,7749,11229,3970613,6857174,3475691,3340461,3475691,1981342,4913,7749,7749,7749,7749,7749,4979387,6954296,4421683,3078217,3273874,2191916,1170,4913,7749,11229,7749,7749,4979387,6382104,4421683,4268566,3970613,3207971,7749,11229,7749,15353,25536,7749,5061832,6760756,3825770,3613662,3273874,12320038,31595,11229,7749,20122,7749,11229,5061832,4979387,4979387,3683678,3340461,2356950,11229,15353,11229,11229,7749,7749,4913,7749,7052121,2765778,2138259,2586489,2826902,2826902,2470362,1089917,2720,4913
8060,134.333333333333,2.2388888888888903,8713362,7150651,6475714,6760756,6475714,4344779,4913,15353,15353,11229,2720,4913,7349823,8604221,7756635,6570026,6289195,3754380,7749,11229,7749,11229,7749,11229,6954296,9269736,6014669,5746437,6196986,3273874,4913,7749,7749,7749,7749,11229,7860104,8713362,7052121,5398564,5658422,4044067,1170,7749,7749,11229,7749,7749,7653872,9157037,7249884,7551817,6760756,5924559,7749,11229,7749,11229,25536,7749,8281060,9269736,7052121,6382104,5924559,16577998,38300,11229,7749,20122,7749,11229,7249884,8388070,7349823,6382104,6014669,4118210,11229,15353,11229,11229,7749,7749,4913,7749,10436010,4897636,4044067,4499278,5144972,5484487,4577565,1880107,2720,4913
8960,149.333333333333,2.4888888888888903,10436010,9045050,8388070,8388070,9157037,6475714,4913,15353,11229,11229,2720,4913,9497273,10436010,9612113,8823213,8713362,6196986,7749,11229,7749,11229,7749,11229,9045050,11295053,8174758,7756635,8495791,5484487,4913,7749,7749,7749,7749,11229,10197031,11674009,9045050,7653872,7249884,6105478,1170,4913,7749,11229,7749,7749,10316162,12189387,9612113,10316162,9269736,8281060,7749,11229,4913,11229,31595,7749,11170175,11295053,8933776,8713362,8388070,20632123,38300,11229,7749,15353,7749,11229,10197031,11295053,9843934,9045050,7964281,6289195,11229,15353,11229,11229,7749,7749,2720,7749,13528517,7450467,6382104,6857174,7450467,8604221,7349823,3014365,2720,4913
