#--- Do not edit. Generated automatically from fig9i ---
#Time_sec,Time_min,Time_hr,A1: K-,pOD=0.25, sϕ=0,A2: K-,pOD=0.25, sϕ=3^-1,A3: K-,pOD=0.25, sϕ=3^-2,A4: K-,pOD=0.25, sϕ=3^-3,A5: K-,pOD=0.25, sϕ=0,A6: K-,pOD=0.25, sϕ=3^-1,A7: K-,pOD=0.25, sϕ=3^-2,A8: K-,pOD=0.25, sϕ=3^-3,A9: K-,pOD=0.25, sϕ=0,A10: K-,pOD=0.25, sϕ=3^-1,A11: K-,pOD=0.25, sϕ=3^-2,A12: K-,pOD=0.25, sϕ=3^-3,B1: K-,pOD=0.125, sϕ=0,B2: K-,pOD=0.125, sϕ=3^-1,B3: K-,pOD=0.125, sϕ=3^-2,B4: K-,pOD=0.125, sϕ=3^-3,B5: K-,pOD=0.125, sϕ=0,B6: K-,pOD=0.125, sϕ=3^-1,B7: K-,pOD=0.125, sϕ=3^-2,B8: K-,pOD=0.125, sϕ=3^-3,B9: K-,pOD=0.125, sϕ=0,B10: K-,pOD=0.125, sϕ=3^-1,B11: K-,pOD=0.125, sϕ=3^-2,B12: K-,pOD=0.125, sϕ=3^-3,C1: K-,pOD=0.0625, sϕ=0,C2: K-,pOD=0.0625, sϕ=3^-1,C3: K-,pOD=0.0625, sϕ=3^-2,C4: K-,pOD=0.0625, sϕ=3^-3,C5: K-,pOD=0.0625, sϕ=0,C6: K-,pOD=0.0625, sϕ=3^-1,C7: K-,pOD=0.0625, sϕ=3^-2,C8: K-,pOD=0.0625, sϕ=3^-3,C9: K-,pOD=0.0625, sϕ=0,C10: K-,pOD=0.0625, sϕ=3^-1,C11: K-,pOD=0.0625, sϕ=3^-2,C12: K-,pOD=0.0625, sϕ=3^-3,D1: K-,pOD=0.03125, sϕ=0,D2: K-,pOD=0.03125, sϕ=3^-1,D3: K-,pOD=0.03125, sϕ=3^-2,D4: K-,pOD=0.03125, sϕ=3^-3,D5: K-,pOD=0.03125, sϕ=0,D6: K-,pOD=0.03125, sϕ=3^-1,D7: K-,pOD=0.03125, sϕ=3^-2,D8: K-,pOD=0.03125, sϕ=3^-3,D9: K-,pOD=0.03125, sϕ=0,D10: K-,pOD=0.03125, sϕ=3^-1,D11: K-,pOD=0.03125, sϕ=3^-2,D12: K-,pOD=0.03125, sϕ=3^-3,E1: K+,pOD=0.25, sϕ=0,E2: K+,pOD=0.25, sϕ=3^-1,E3: K+,pOD=0.25, sϕ=3^-2,E4: K+,pOD=0.25, sϕ=3^-3,E5: K+,pOD=0.25, sϕ=0,E6: K+,pOD=0.25, sϕ=3^-1,E7: K+,pOD=0.25, sϕ=3^-2,E8: K+,pOD=0.25, sϕ=3^-3,E9: K+,pOD=0.25, sϕ=0,E10: K+,pOD=0.25, sϕ=3^-1,E11: K+,pOD=0.25, sϕ=3^-2,E12: K+,pOD=0.25, sϕ=3^-3,F1: K+,pOD=0.125, sϕ=0,F2: K+,pOD=0.125, sϕ=3^-1,F3: K+,pOD=0.125, sϕ=3^-2,F4: K+,pOD=0.125, sϕ=3^-3,F5: K+,pOD=0.125, sϕ=0,F6: K+,pOD=0.125, sϕ=3^-1,F7: K+,pOD=0.125, sϕ=3^-2,F8: K+,pOD=0.125, sϕ=3^-3,F9: K+,pOD=0.125, sϕ=0,F10: K+,pOD=0.125, sϕ=3^-1,F11: K+,pOD=0.125, sϕ=3^-2,F12: K+,pOD=0.125, sϕ=3^-3,G1: K+,pOD=0.0625, sϕ=0,G2: K+,pOD=0.0625, sϕ=3^-1,G3: K+,pOD=0.0625, sϕ=3^-2,G4: K+,pOD=0.0625, sϕ=3^-3,G5: K+,pOD=0.0625, sϕ=0,G6: K+,pOD=0.0625, sϕ=3^-1,G7: K+,pOD=0.0625, sϕ=3^-2,G8: K+,pOD=0.0625, sϕ=3^-3,G9: K+,pOD=0.0625, sϕ=0,G10: K+,pOD=0.0625, sϕ=3^-1,G11: K+,pOD=0.0625, sϕ=3^-2,G12: K+,pOD=0.0625, sϕ=3^-3,H1: K+,pOD=0.03125, sϕ=0,H2: K+,pOD=0.03125, sϕ=3^-1,H3: K+,pOD=0.03125, sϕ=3^-2,H4: K+,pOD=0.03125, sϕ=3^-3,H5: K+,pOD=0.03125, sϕ=0,H6: K+,pOD=0.03125, sϕ=3^-1,H7: K+,pOD=0.03125, sϕ=3^-2,H8: K+,pOD=0.03125, sϕ=3^-3,H9: K+,pOD=0.03125, sϕ=0,H10: K+,pOD=0.03125, sϕ=3^-1,H11: K+,pOD=0.03125, sϕ=3^-2,H12: K+,pOD=0.03125, sϕ=3^-3,Sampling time indicator
Time_sec,Time,Time_hr,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,Sampling time indicator
860,14.333333333333302,0.23888888888888898,8281060,8069165,8388070,7551817,7450467,7249884,7349823,7450467,7052121,7756635,7450467,8069165,4193043,4193043,4193043,6954296,3544333,3970613,4193043,4268566,3970613,4344779,4344779,4344779,1502095,1502095,1546995,1206554,1502095,1371419,1329200,1930387,1371419,1371419,1246768,1206554,371778,394114,371778,371778,371778,308707,308707,394114,394114,350099,329075,308707,7249884,7964281,8174758,7653872,8174758,7349823,7860104,7450467,7860104,7756635,7249884,6196986,3754380,4268566,3970613,3754380,3970613,3897847,3754380,3825770,3970613,4044067,3544333,3544333,1089917,1052372,1015493,1015493,1128129,1052372,1052372,1167008,1167008,1206554,1128129,841071,233778,216680,233778,216680,216680,216680,233778,288993,216680,440755,200235,216680,45652
1760,29.3333333333333,0.48888888888888893,10436010,9383148,10556576,9045050,8823213,7450467,6475714,7349823,10197031,10556576,8933776,10197031,7653872,7052121,7653872,11546969,7653872,7756635,7860104,7249884,7450467,8174758,8388070,9045050,3613662,3078217,3407733,3078217,3340461,3014365,3207971,3825770,3273874,3273874,3273874,3340461,1052372,1015493,979279,874626,841071,841071,841071,979279,874626,908846,908846,979279,7964281,7860104,8388070,8069165,8388070,7860104,8604221,7551817,8174758,8174758,7860104,6665040,5061832,5484487,5658422,5658422,5398564,5746437,5571106,5313338,5571106,5398564,5571106,4897636,1414308,1329200,1371419,1371419,1502095,1371419,1371419,1546995,1685722,1592565,1685722,1052372,269934,251530,269934,251530,233778,251530,288993,329075,251530,465062,251530,269934,45652
2660,44.3333333333333,0.7388888888888892,12716336,11046018,12583513,10922579,10556576,11170175,10078616,11801770,12451414,11674009,11046018,11170175,9727666,8713362,9269736,14795922,9843934,10316162,10078616,9843934,10078616,10677859,10436010,10078616,6665040,5313338,6196986,5835149,5835149,5484487,6014669,6475714,6105478,6105478,6289195,6196986,2413317,2138259,2191916,2032972,2032972,1930387,1830500,2191916,2138259,2032972,2138259,2413317,7653872,7551817,7860104,8069165,8069165,7653872,8174758,7249884,7964281,7551817,7756635,6570026,5398564,5571106,5835149,5924559,5658422,6014669,5924559,5313338,5658422,5658422,5835149,5061832,1502095,1329200,1414308,1371419,1546995,1329200,1287649,1592565,1781568,1685722,1733308,1052372,288993,269934,288993,269934,251530,269934,269934,329075,251530,490026,251530,269934,45652
3560,59.3333333333333,0.9888888888888892,13119159,12451414,14366887,12189387,11801770,12583513,10922579,12583513,13254885,13119159,12583513,12849885,11170175,10197031,9960918,17666469,11295053,11674009,11674009,11046018,11546969,12451414,11930253,11420651,7860104,6857174,8174758,8281060,7964281,7653872,8495791,9727666,8495791,8823213,8823213,8604221,4044067,3754380,4118210,3754380,3544333,3683678,3754380,4118210,4044067,4193043,4118210,3970613,7349823,7349823,7860104,7756635,7756635,7349823,7964281,6954296,7860104,7249884,7653872,6665040,5228807,5398564,5571106,5835149,5571106,5924559,5835149,5228807,5484487,5746437,5746437,4816578,1371419,1246768,1329200,1287649,1457866,1287649,1287649,1502095,1781568,1638808,1685722,1052372,288993,269934,269934,251530,251530,233778,251530,329075,251530,440755,216680,269934,45652
4460,74.3333333333334,1.2388888888888898,13805059,13254885,15673750,12984159,11930253,12849885,11674009,14366887,14509168,14225336,13119159,13528517,12059459,11546969,11546969,19784154,12320038,12059459,12849885,12583513,12716336,13805059,13944423,12583513,8933776,7551817,9383148,9843934,8823213,9045050,9727666,11170175,10197031,11295053,10556576,9960918,6570026,5571106,6105478,6475714,5924559,5835149,6382104,6570026,6665040,6760756,6857174,6665040,7349823,7349823,7756635,7756635,7653872,7349823,7551817,6665040,7551817,7349823,7450467,6665040,5228807,5313338,5484487,5746437,5398564,5746437,5658422,5144972,5484487,5571106,5571106,4736214,1329200,1206554,1287649,1246768,1414308,1287649,1246768,1502095,1733308,1592565,1638808,943730,269934,251530,251530,251530,233778,233778,251530,308707,216680,417106,216680,251530,45652
5360,89.3333333333334,1.4888888888888898,14652180,14225336,16122565,13391337,12716336,13528517,12059459,15972226,15231539,14795922,14084515,13805059,12716336,12583513,12583513,19119192,14084515,12849885,14225336,13666424,14225336,14366887,15085601,13805059,10078616,8713362,10922579,11295053,9843934,10922579,11546969,12716336,11930253,13528517,11930253,11170175,7551817,6475714,7756635,8281060,6857174,7551817,7860104,8069165,8281060,8281060,8495791,8388070,7249884,7150651,7653872,7551817,7349823,7150651,7150651,6570026,7150651,7150651,6954296,6014669,5061832,5313338,5313338,5746437,5228807,5571106,5398564,4897636,5313338,5313338,5398564,4421683,1287649,1167008,1246768,1206554,1329200,1206554,1206554,1414308,1638808,1546995,1592565,908846,251530,233778,251530,233778,216680,216680,233778,288993,200235,394114,200235,233778,45652
6260,104.333333333333,1.7388888888888898,15378210,14940396,17351786,13666424,13666424,15085601,12583513,16731281,16425451,16273640,15378210,15822620,13666424,13528517,13528517,22743556,14366887,13944423,15525613,14509168,14795922,15378210,16577998,14366887,11546969,9497273,12059459,12583513,11801770,11546969,13119159,13805059,13391337,15085601,12984159,11930253,8933776,7150651,8933776,10556576,8069165,8713362,9612113,9843934,9727666,10436010,10197031,9960918,6760756,6857174,7349823,7249884,7052121,6857174,7052121,6289195,6954296,6954296,6760756,5835149,4979387,5144972,5061832,5658422,5061832,5398564,5228807,4736214,5144972,5144972,5061832,4421683,1246768,1128129,1206554,1167008,1246768,1128129,1089917,1329200,1592565,1457866,1502095,874626,233778,216680,216680,216680,200235,216680,233778,269934,200235,394114,200235,200235,103359
9626,160.433333333333,2.6738888888888903,16122565,15972226,17351786,14366887,13805059,16122565,13254885,16731281,15972226,16425451,15231539,16577998,13528517,14652180,12984159,23655248,14795922,13666424,16885301,14940396,15378210,15378210,16425451,15822620,12451414,11046018,12849885,13391337,12059459,12849885,13528517,13944423,13666424,15972226,14940396,13391337,10799860,9497273,11295053,13528517,10078616,10799860,11930253,11295053,12984159,12583513,12320038,12451414,5746437,6196986,6289195,6196986,6105478,5924559,6196986,5571106,6014669,6105478,5924559,4816578,4193043,4421683,4344779,4656543,4344779,4656543,4577565,4118210,4344779,4421683,4577565,3754380,1052372,979279,979279,979279,1128129,979279,908846,1167008,1371419,1329200,1329200,683234,169301,169301,169301,154811,154811,169301,184442,200235,154811,329075,154811,169301,103359
10526,175.43333333333302,2.9238888888888903,20290697,20290697,20461036,16273640,14940396,19616798,15378210,18954811,17984109,17824919,17508758,19284317,16731281,17508758,14940396,29730759,17040058,15822620,19119192,18304711,17195553,16885301,18304711,19284317,15231539,12716336,14652180,14795922,13119159,14652180,15673750,16577998,15822620,18628277,17195553,16425451,12984159,10436010,12716336,15525613,11170175,12189387,12716336,13666424,15673750,14940396,13254885,13528517,5746437,6014669,6105478,6014669,5924559,5658422,6014669,5398564,5924559,5835149,5658422,4816578,4268566,4268566,4193043,4499278,4044067,4499278,4268566,3970613,4193043,4344779,4344779,3825770,1015493,1015493,943730,979279,1089917,979279,908846,1089917,1371419,1329200,1329200,683234,169301,169301,154811,154811,140972,154811,184442,200235,154811,329075,154811,169301,45652
11426,190.43333333333302,3.1738888888888903,22384148,23471403,24398179,18791173,18304711,21850670,18144040,22563476,20632123,20632123,19784154,19952256,18791173,19616798,17666469,36081893,19450185,17824919,21498769,21323943,20121104,21149866,21674345,21323943,16731281,13391337,16885301,15972226,14652180,16122565,17666469,18628277,17508758,21149866,19616798,17666469,15822620,11295053,13944423,17195553,12189387,12984159,13805059,15231539,17666469,16425451,14940396,14652180,5571106,5835149,5924559,5835149,5746437,5571106,5924559,5313338,5835149,5746437,5571106,4736214,4118210,4193043,3970613,4816578,4044067,4344779,4268566,3897847,4044067,4268566,4268566,3544333,979279,979279,874626,908846,1015493,943730,841071,1052372,1287649,1287649,1287649,624732,154811,169301,154811,140972,140972,154811,169301,184442,127784,308707,140972,154811,45652
