fig 11,,,,fig 9 & 10,,,,fig 12,,,
A1, K-,sOD=0.25,sϕ=0,A1, K-,pOD=0.25,sϕ=0,A1, K-,sOD=0.25,sϕ=0
A2, K-,sOD=0.25,sϕ=3^-8,A2, K-,pOD=0.25,sϕ=3^-1,A2, K-,sOD=0.25,sϕ=3^-1
A3, K-,sOD=0.25,sϕ=3^-9,A3, K-,pOD=0.25,sϕ=3^-2,A3, K-,sOD=0.25,sϕ=3^-2
A4, K-,sOD=0.25,sϕ=3^-10,A4, K-,pOD=0.25,sϕ=3^-3,A4, K-,sOD=0.25,sϕ=3^-3
A5, K-,sOD=0.25,sϕ=0,A5, K-,pOD=0.25,sϕ=0,A5, K-,sOD=0.25,sϕ=3^-4
A6, K-,sOD=0.25,sϕ=3^-8,A6, K-,pOD=0.25,sϕ=3^-1,A6, K-,sOD=0.25,sϕ=3^-5
A7, K-,sOD=0.25,sϕ=3^-9,A7, K-,pOD=0.25,sϕ=3^-2,A7, K-,sOD=0.25,sϕ=3^-6
A8, K-,sOD=0.25,sϕ=3^-10,A8, K-,pOD=0.25,sϕ=3^-3,A8, K-,sOD=0.25,sϕ=3^-7
A9, K-,sOD=0.25,sϕ=0,A9, K-,pOD=0.25,sϕ=0,A9, K-,sOD=0.25,sϕ=3^-8
A10, K-,sOD=0.25,sϕ=3^-8,A10, K-,pOD=0.25,sϕ=3^-1,A10, K-,sOD=0.25,sϕ=3^-9
A11, K-,sOD=0.25,sϕ=3^-9,A11, K-,pOD=0.25,sϕ=3^-2,A11, K-,sOD=0.25,sϕ=3^-10
A12, K-,sOD=0.25,sϕ=3^-10,A12, K-,pOD=0.25,sϕ=3^-3,A12, K-,sOD=0.25,sϕ=3^0
B1, K-,sOD=0.125,sϕ=0,B1, K-,pOD=0.125,sϕ=0,B1, K-,sOD=0.125,sϕ=0
B2, K-,sOD=0.125,sϕ=3^-8,B2, K-,pOD=0.125,sϕ=3^-1,B2, K-,sOD=0.125,sϕ=3^-1
B3, K-,sOD=0.125,sϕ=3^-9,B3, K-,pOD=0.125,sϕ=3^-2,B3, K-,sOD=0.125,sϕ=3^-2
B4, K-,sOD=0.125,sϕ=3^-10,B4, K-,pOD=0.125,sϕ=3^-3,B4, K-,sOD=0.125,sϕ=3^-3
B5, K-,sOD=0.125,sϕ=0,B5, K-,pOD=0.125,sϕ=0,B5, K-,sOD=0.125,sϕ=3^-4
B6, K-,sOD=0.125,sϕ=3^-8,B6, K-,pOD=0.125,sϕ=3^-1,B6, K-,sOD=0.125,sϕ=3^-5
B7, K-,sOD=0.125,sϕ=3^-9,B7, K-,pOD=0.125,sϕ=3^-2,B7, K-,sOD=0.125,sϕ=3^-6
B8, K-,sOD=0.125,sϕ=3^-10,B8, K-,pOD=0.125,sϕ=3^-3,B8, K-,sOD=0.125,sϕ=3^-7
B9, K-,sOD=0.125,sϕ=0,B9, K-,pOD=0.125,sϕ=0,B9, K-,sOD=0.125,sϕ=3^-8
B10, K-,sOD=0.125,sϕ=3^-8,B10, K-,pOD=0.125,sϕ=3^-1,B10, K-,sOD=0.125,sϕ=3^-9
B11, K-,sOD=0.125,sϕ=3^-9,B11, K-,pOD=0.125,sϕ=3^-2,B11, K-,sOD=0.125,sϕ=3^-10
B12, K-,sOD=0.125,sϕ=3^-10,B12, K-,pOD=0.125,sϕ=3^-3,B12, K-,sOD=0.125,sϕ=3^0
C1, K-,sOD=0.0625,sϕ=0,C1, K-,pOD=0.0625,sϕ=0,C1, K-,sOD=0.0625,sϕ=0
C2, K-,sOD=0.0625,sϕ=3^-8,C2, K-,pOD=0.0625,sϕ=3^-1,C2, K-,sOD=0.0625,sϕ=3^-1
