# --- do not edit. automatically generated by fittings/secretion_rate/plot_and_generate.py--- 
# -- the first entries with phage count 0 are dymmy for phage count - only ecoli OD was measured
Time,Ecoli_1,Ecoli_2,Ecoli_3,phage_cfu_1,phage_cfu_2,phage_cfu_3
290,114303,152489,152489,0,0,0
320,272117,232599,285982,0,0,0
350,479416,392742,700745,32000000,35000000,47000000
410,2445280,3850457,4062279,74000000,135000000,214000000
470,6163388,10029688,15287332,360000000,750000000,860000000
530,11902735,20444202,32174446,690000000,1340000000,2260000000
590,33436794,51193420,69424006,3100000000,5500000000,9400000000
650,82717412,120546535,181620186,14500000000,10700000000,20400000000
710,216479693,332929093,440942673,29700000000,26200000000,33000000000
770,483519458,602955309,765867228,40000000000,37000000000,60000000000
840,934652539,1353668820,1649953032,65000000000,80000000000,70000000000
