# --- do not edit. automatically generated by fittings/secretion_rate/plot_and_generate.py--- 
# -- the first entries with phage count 0 are dymmy for phage count - only ecoli OD was measured
Time,Ecoli_1,Ecoli_2,Ecoli_3,phage_pfu_1,phage_pfu_2,phage_pfu_3
290,114303,152489,152489,0,0,0
320,272117,232599,285982,0,0,0
350,479416,392742,700745,246400000,269500000,361900000
410,2445280,3850457,4062279,569800000,1039500000,1647800000
470,6163388,10029688,15287332,2772000000,5775000000,6622000000
530,11902735,20444202,32174446,5313000000,10318000000,17402000000
590,33436794,51193420,69424006,23870000000,42350000000,72380000000
650,82717412,120546535,181620186,111650000000,82390000000,157080000000
710,216479693,332929093,440942673,228690000000,201740000000,254100000000
770,483519458,602955309,765867228,308000000000,284900000000,462000000000
840,934652539,1353668820,1649953032,500500000000,616000000000,539000000000
